TOKEN_ID,TOKEN_NAME,Clan,Background,Body,Apparel,Mouth,Eyes,Head,Item,Face,Hat,Hand,NUM_TRAITS,RARITY_SCORE,Rank
7703,Zerivugs Kedu #7703,27.277084957131724,10.987912087912088,31.768790849673202,29.054794520547947,30.591346153846153,27.974820143884894,30.474137931034484,24.03935980217063,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,243.38536678803408,7118
2567,Zerivugs Kedu #2567,27.277084957131724,10.83482972136223,32.115719922914565,31.75149700598803,30.548620810055862,23.855828220858896,29.78932584269663,25.952169076751947,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,243.3421958995928,7119
3971,Ma'argaths Kedu #3971,19.540201005025125,28.053306613226454,22.924472684396697,58.269230769230774,22.73681133056133,26.542662116040955,15.266314779270635,3.369000173280194,19.848287205081668,4.271043093032622,6.55930202046707,15.951729796253248,243.3323615858668,7120
118,Ma'argaths Kedu #118,19.540201005025125,25.222702702702705,23.662271805273832,59.245810055865924,22.502893518518515,23.782874617737,15.266314779270635,3.369000173280194,23.943965517241377,4.271043093032622,6.55930202046707,15.951729796253248,243.31810908466827,7121
1115,Zerivugs Kedu #1115,27.277084957131724,10.987912087912088,32.72842046198447,26.71284634760705,30.591346153846153,27.974820143884894,29.78932584269663,25.952169076751947,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,243.2310454136479,7122
7756,Zerivugs Kedu #7756,27.277084957131724,10.83482972136223,31.768790849673202,28.129973474801066,30.591346153846153,25.923333333333332,30.474137931034484,26.99722286507753,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,243.21383962809267,7123
3937,Zerivugs Kedu #3937,27.277084957131724,10.987912087912088,32.72842046198447,29.54038997214485,30.548620810055862,25.923333333333332,30.474137931034484,24.47821221235224,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,243.175232107782,7124
1227,Zerivugs Kedu #1227,27.277084957131724,10.987912087912088,31.768790849673202,28.431635388739952,30.548620810055862,27.974820143884894,30.474137931034484,24.47821221235224,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,243.1583347226174,7125
921,Ma'argaths Kedu #921,19.540201005025125,25.222702702702705,23.662271805273832,27.68929503916449,22.73681133056133,23.782874617737,15.266314779270635,3.369000173280194,55.10392064241851,4.271043093032622,6.55930202046707,15.951729796253248,243.15546700518678,7126
1180,Zerivugs Kedu #1180,27.277084957131724,10.83482972136223,31.768790849673202,29.54038997214485,30.591346153846153,24.379310344827587,30.474137931034484,26.99722286507753,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,243.0802331369307,7127
5807,Ma'argaths Kedu #5807,19.540201005025125,25.222702702702705,23.662271805273832,62.01754385964912,22.502893518518515,24.84664536741214,15.266314779270635,3.369000173280194,19.848287205081668,4.271043093032622,6.55930202046707,15.951729796253248,243.05793532596692,7128
1835,Zerivugs Kedu #1835,27.277084957131724,10.83482972136223,31.768790849673202,29.054794520547947,30.548620810055862,25.923333333333332,30.474137931034484,25.952169076751947,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,243.05088154172367,7129
2772,Zerivugs Kedu #2772,27.277084957131724,10.83482972136223,32.115719922914565,29.37673130193906,30.548620810055862,25.923333333333332,29.78932584269663,25.952169076751947,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,243.0349353080183,7130
3156,Zerivugs Kedu #3156,27.277084957131724,10.987912087912088,31.768790849673202,29.37673130193906,30.591346153846153,27.974820143884894,29.78932584269663,24.03935980217063,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,243.02249148108734,7131
5970,Zerivugs Kedu #5970,27.277084957131724,10.987912087912088,31.768790849673202,29.54038997214485,30.548620810055862,25.923333333333332,29.78932584269663,25.952169076751947,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,243.0047472715326,7132
1235,Zerivugs Kedu #1235,27.277084957131724,10.83482972136223,32.72842046198447,28.431635388739952,30.591346153846153,24.379310344827587,30.474137931034484,26.99722286507753,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.9311081658371,7133
582,Zerivugs Kedu #582,27.277084957131724,10.987912087912088,31.768790849673202,31.75149700598803,30.591346153846153,24.379310344827587,30.474137931034484,24.47821221235224,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.92541188459847,7134
2386,Zerivugs Kedu #2386,27.277084957131724,10.83482972136223,32.72842046198447,29.37673130193906,30.591346153846153,25.923333333333332,30.474137931034484,24.47821221235224,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.90121641481664,7135
2681,Zerivugs Kedu #2681,27.277084957131724,10.987912087912088,31.768790849673202,29.37673130193906,30.591346153846153,25.923333333333332,29.78932584269663,25.952169076751947,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.88381394511708,7136
2458,Zerivugs Kedu #2458,27.277084957131724,10.987912087912088,32.115719922914565,29.37673130193906,30.548620810055862,23.855828220858896,30.474137931034484,26.99722286507753,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.85037843875716,7137
7383,Zerivugs Kedu #7383,27.277084957131724,10.987912087912088,31.768790849673202,29.54038997214485,30.548620810055862,24.003086419753085,30.474137931034484,26.99722286507753,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.8143662346158,7138
612,Zerivugs Kedu #612,27.277084957131724,10.83482972136223,32.72842046198447,29.37673130193906,30.548620810055862,24.003086419753085,29.78932584269663,26.99722286507753,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.77244272183356,7139
1689,Zerivugs Kedu #1689,27.277084957131724,10.987912087912088,32.72842046198447,29.054794520547947,30.591346153846153,25.923333333333332,30.474137931034484,24.47821221235224,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.7323619999754,7140
952,Zerivugs Kedu #952,27.277084957131724,10.987912087912088,31.768790849673202,28.431635388739952,30.548620810055862,27.974820143884894,30.474137931034484,24.03935980217063,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.7194823124358,7141
3625,Zerivugs Kedu #3625,27.277084957131724,10.987912087912088,32.72842046198447,31.75149700598803,30.548620810055862,24.379310344827587,29.78932584269663,24.03935980217063,4.435045432079991,4.271043093032622,6.55930202046707,15.951729796253248,242.71865165459997,7142
