TOKEN_ID,TOKEN_NAME,Editions,Edition #,Birthday,OG Buyer,OG Price,rarity,spectacular,adjective,animal,category,group,conference,creator,Redemptions,Redemption Expiration,benefit,NUM_TRAITS,RARITY_SCORE,Rank
1292,Bowling Boa,5777.325346673689,53.59553905464435,10255.0,120.23760989126404,51.423245389614394,2370.003420342034,1208.2754221732746,28682.72113289761,29139.816290393985,16094.583129584355,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1336493.0196419803,25
1291,Bowling Boa,5777.325346673689,53.59553905464435,2563.75,4929.742005541825,51.423245389614394,2370.003420342034,1208.2754221732746,28682.72113289761,29139.816290393985,16094.583129584355,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1333611.274037631,26
1288,Bowling Boa,5777.325346673689,53.59553905464435,2051.0,3697.3065041563696,51.423245389614394,2370.003420342034,1208.2754221732746,28682.72113289761,29139.816290393985,16094.583129584355,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1331866.0885362455,27
1295,Bowling Boa,5777.325346673689,53.59553905464435,8.256843800322061,11.907589385366729,18.59020706919232,2370.003420342034,1208.2754221732746,28682.72113289761,29139.816290393985,16094.583129584355,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,11681.78260869565,1330630.2483948583,28
1289,Bowling Boa,5777.325346673689,53.59553905464435,2563.75,1137.6327705096523,51.423245389614394,2370.003420342034,1208.2754221732746,28682.72113289761,29139.816290393985,16094.583129584355,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,598425.8636363638,7156.647640791476,1329819.1648025988,29
8242,Shadow Me Scorpion,5777.325346673689,53.59553905464435,5127.5,295.78452033250954,23089.037179936866,2370.003420342034,1208.2754221732746,258144.49019607846,262258.34661354584,5098.903563129357,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,121901.56481481482,7156.647640791476,1329639.0014852977,30
201,"""Wine Shopping Spree"" Woodchuk",5777.325346673689,53.59553905464435,5127.5,295.78452033250954,23089.037179936866,2370.003420342034,1208.2754221732746,258144.49019607846,262258.34661354584,1474.9461124803945,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,121901.56481481482,7156.647640791476,1326015.0440346487,31
10094,Workout Wolf,5777.325346673689,53.59553905464435,5127.5,3697.3065041563696,721.5324118730271,2370.003420342034,1208.2754221732746,258144.49019607846,262258.34661354584,1474.9461124803945,73140.93888888891,25663.4873294347,6419.0,199475.28787878787,332458.81313131313,121901.56481481482,7156.647640791476,1307049.0612504086,32
523,Amiable Anchovy,1044870.5555555555,53.59553905464435,10255.0,14789.226016625478,21.59872514493626,7002.855851063831,1208.2754221732746,6619.08949220714,6556.458665338645,7463.361111111111,2334.2852836879433,4668.570567375887,6419.0,1321.8241967871486,2203.040327978581,1322.4880964339527,3347.7518689925237,1120456.9767195305,33
527,Amiable Anchovy,1044870.5555555555,166.582763943719,10255.0,3697.3065041563696,21.59872514493626,7002.855851063831,1208.2754221732746,6619.08949220714,6556.458665338645,7463.361111111111,2334.2852836879433,4668.570567375887,6419.0,1321.8241967871486,2203.040327978581,1322.4880964339527,3347.7518689925237,1109478.0444319507,34
