TOKEN_ID,TOKEN_NAME,Type,Background,Body,Eyes,Mouth,Wear,Hair,Face,Head,Extra,Style,Strength,Spirit,Helmet,Domain,NUM_TRAITS,RARITY_SCORE,Rank
6868,0N1 #6868,17.681697612732098,19.422268470343393,18.49373297002725,26.86355785837651,19.500391788120982,16.017162962327298,19.061274509803923,16.441860465116278,36.25993200582808,10.382311222361285,36.56180215475024,34.24733944954128,23.22937149968886,6.005405405405406,6.005405405405406,24.021621621621623,330.19513540144993,6707
4200,0N1 #4200,17.681697612732098,19.84561403508772,18.0992,26.86355785837651,19.500391788120982,16.922616619067046,17.837155963302752,11.030879702136462,24.754376657824935,13.488076311605724,36.27755102040817,35.79060402684564,36.067246376811596,6.005405405405406,6.005405405405406,24.021621621621623,330.191400404752,6708
295,0N1 #0295,17.681697612732098,19.5955905511811,18.0992,20.93405114401077,19.500391788120982,16.889693240430727,27.974820143884894,33.26169473402833,17.278222633649616,10.382311222361285,34.59647822057461,34.72520930232558,23.22937149968886,6.005405405405406,6.005405405405406,24.021621621621623,330.1811645254213,6709
2308,0N1 #2308,17.681697612732098,19.5955905511811,18.49373297002725,20.09560723514212,19.500391788120982,16.922616619067046,17.837155963302752,11.030879702136462,43.63483343074226,10.382311222361285,36.56180215475024,24.430366492146597,37.898071065989846,6.005405405405406,6.005405405405406,24.021621621621623,330.09748924013246,6710
7765,0N1 #7765,17.681697612732098,19.422268470343393,18.0992,20.93405114401077,19.24702242846094,20.00300075018755,28.48717948717949,22.31697255933521,11.787798408488065,11.84389872453836,34.310294117647054,35.79060402684564,34.12212065813528,6.005405405405406,6.005405405405406,24.021621621621623,330.07854082033623,6711
752,0N1 #0752,17.681697612732098,19.84561403508772,18.0992,26.86355785837651,19.24702242846094,18.39258967284194,28.07581227436823,21.071122149469407,8.99530109159257,10.382311222361285,34.59647822057461,34.72520930232558,36.067246376811596,6.005405405405406,6.005405405405406,24.021621621621623,330.0755946774349,6712
1713,0N1 #1713,17.681697612732098,19.5955905511811,17.06184012066365,18.0650406504065,19.500391788120982,16.017162962327298,18.298823529411766,53.25952346982451,8.99530109159257,13.488076311605724,34.59647822057461,34.24733944954128,23.22937149968886,6.005405405405406,6.005405405405406,24.021621621621623,330.0690696901034,6713
4163,0N1 #4163,17.681697612732098,19.422268470343393,17.06184012066365,24.18973561430793,19.500391788120982,37.25880826429783,17.837155963302752,23.399736726634487,11.787798408488065,13.488076311605724,34.310294117647054,34.85490196078431,23.22937149968886,6.005405405405406,6.005405405405406,24.021621621621623,330.05450929104956,6714
2046,0N1 #2046,17.681697612732098,19.84561403508772,17.06184012066365,18.0650406504065,18.88767455980571,16.922616619067046,41.588235294117645,17.432333987111235,8.99530109159257,11.84389872453836,34.59647822057461,35.79060402684564,35.28317580340264,6.005405405405406,6.005405405405406,24.021621621621623,330.02694317837785,6715
394,0N1 #0394,17.681697612732098,19.5955905511811,17.06184012066365,32.60796645702306,19.500391788120982,16.017162962327298,19.061274509803923,17.432333987111235,17.278222633649616,10.382311222361285,36.56180215475024,34.72520930232558,36.067246376811596,6.005405405405406,6.005405405405406,24.021621621621623,330.0054821112941,6716
