TOKEN_ID,TOKEN_NAME,Background,Body,Eyes,Clothes,Head,Mouth,NUM_TRAITS,RARITY_SCORE,Rank
1833,Wicked Cranium #1833,34.87410369553226,36.28507890961262,41.23371647509578,76.32624113475178,81.17701813513081,44.96124444444444,47.0,361.8574027945677,2283
2714,Wicked Cranium #2714,52.513911960132894,31.585737479705255,44.494546094299785,34.493589743589745,31.317813138505354,120.43190476190476,47.0,361.8375031781378,2284
8767,Wicked Cranium #8767,34.87410369553226,54.494074552898084,40.84745215214407,80.91729323308272,64.49241361723831,39.210387596899224,47.0,361.83572484779467,2285
7826,Wicked Cranium #7826,48.43106089620834,71.18125527723052,42.3346166722464,62.20809248554914,34.06384268300896,56.51553072625698,47.0,361.73439874050035,2286
2830,Wicked Cranium #2830,90.55030433225922,37.662993298585256,44.494546094299785,80.91729323308272,38.57347670250896,22.50562847608454,47.0,361.7042421368205,2287
5900,Wicked Cranium #5900,48.044642857142854,39.88440309099511,42.130101615858734,80.91729323308272,27.65522143247676,76.06225563909776,47.0,361.69391786865395,2288
6654,Wicked Cranium #6654,48.044642857142854,69.51814183617373,46.51163218390804,73.71232876712328,59.767694670920484,17.131718882303133,47.0,361.6861591975715,2289
2180,Wicked Cranium #2180,99.53049980322709,41.32467320261438,24.916945812807885,50.525821596244135,54.75362632604461,43.6046551724138,47.0,361.6562219133519,2290
7815,Wicked Cranium #7815,48.172761904761906,37.662993298585256,107.66581524052789,36.358108108108105,45.96219900045434,38.83408829174664,47.0,361.6559658441841,2291
1877,Wicked Cranium #1877,45.96637586332243,123.97401960784312,41.23371647509578,30.573863636363637,34.06384268300896,38.83408829174664,47.0,361.64590655738056,2292
8607,Wicked Cranium #8607,52.513911960132894,54.494074552898084,37.34874104703537,76.32624113475178,55.123583260680036,38.83408829174664,47.0,361.6406402472448,2293
4236,Wicked Cranium #4236,44.16818023052742,31.585737479705255,107.66581524052789,49.59447004608295,59.11804581580178,22.50562847608454,47.0,361.63787728872984,2294
4067,Wicked Cranium #4067,48.43106089620834,12.154315647827758,54.84862285838213,30.573863636363637,45.96219900045434,122.62157575757576,47.0,361.59163779681194,2295
10183,Wicked Cranium #10183,45.96637586332243,107.80349531116794,44.494546094299785,31.560117302052785,44.45934780697899,40.30390438247012,47.0,361.58778676029203,2296
1131,Wicked Cranium #1131,34.87410369553226,29.056410845588232,36.87497266166071,41.87548638132296,131.58532778355882,40.30390438247012,47.0,361.57020575013314,2297
5381,Wicked Cranium #5381,37.05597069597069,69.51814183617373,49.55074451410658,76.32624113475178,27.65522143247676,54.388602150537636,47.0,361.4949217640172,2298
5021,Wicked Cranium #5021,48.43106089620834,100.51947535771063,37.34874104703537,61.14772727272727,49.89780013810792,17.131718882303133,47.0,361.47652359409267,2299
8854,Wicked Cranium #8854,90.55030433225922,41.78899537343027,57.37454627949183,29.7292817679558,55.123583260680036,39.90642998027614,47.0,361.4731409940933,2300
7529,Wicked Cranium #7529,90.55030433225922,36.28507890961262,40.84745215214407,61.14772727272727,51.96363262790221,33.664825291181366,47.0,361.4590205858268,2301
7144,Wicked Cranium #7144,48.044642857142854,29.056410845588232,69.48949031460366,76.32624113475178,38.57347670250896,52.964816753926705,47.0,361.45507860852223,2302
5925,Wicked Cranium #5925,34.87410369553226,100.51947535771063,47.14016775396085,34.493589743589745,44.45934780697899,52.964816753926705,47.0,361.45150111169914,2303
8705,Wicked Cranium #8705,46.55872606774669,36.642567371776295,42.3346166722464,81.53030303030303,31.317813138505354,76.06225563909776,47.0,361.4462819196755,2304
450,Wicked Cranium #450,44.16818023052742,69.51814183617373,54.84862285838213,29.484931506849314,81.17701813513081,35.24836236933798,47.0,361.4452569364014,2305
4626,Wicked Cranium #4626,99.53049980322709,57.43970020440607,24.916945812807885,76.32624113475178,17.376550207839504,38.83408829174664,47.0,361.424025454779,2306
5752,Wicked Cranium #5752,48.172761904761906,57.43970020440607,46.51163218390804,41.87548638132296,52.46488953428068,67.89449664429532,47.0,361.35896685297496,2307
2962,Wicked Cranium #2962,40.233375755647465,123.97401960784312,24.916945812807885,34.493589743589745,36.33982326316546,54.388602150537636,47.0,361.3463563335913,2308
2700,Wicked Cranium #2700,35.35183114341627,56.999549244985346,52.6944473382644,81.53030303030303,70.63454824745148,17.131718882303133,47.0,361.34239788672363,2309
5945,Wicked Cranium #5945,45.96637586332243,36.28507890961262,73.906195207481,80.91729323308272,54.75362632604461,22.50562847608454,47.0,361.334198015628,2310
5063,Wicked Cranium #5063,99.53049980322709,39.88440309099511,45.186171163123106,41.87548638132296,31.317813138505354,56.51553072625698,47.0,361.3099043034306,2311
2803,Wicked Cranium #2803,99.53049980322709,36.28507890961262,42.3346166722464,50.525821596244135,51.96363262790221,33.664825291181366,47.0,361.3044749004138,2312
6829,Wicked Cranium #6829,40.233375755647465,70.84229691876752,46.51163218390804,78.55474452554745,44.45934780697899,33.664825291181366,47.0,361.26622248203086,2313
8436,Wicked Cranium #8436,99.53049980322709,29.45917297612114,24.881400954301736,52.75490196078431,63.9865907653384,43.6046551724138,47.0,361.21722163218647,2314
2990,Wicked Cranium #2990,47.98083855055967,123.97401960784312,20.96377652519894,30.487252124645895,36.420938940092164,54.388602150537636,47.0,361.2154278988774,2315
2573,Wicked Cranium #2573,90.55030433225922,56.999549244985346,42.130101615858734,52.75490196078431,17.376550207839504,54.388602150537636,47.0,361.2000095122647,2316
7269,Wicked Cranium #7269,34.87410369553226,31.856279128353695,53.832907620263946,41.87548638132296,31.317813138505354,120.43190476190476,47.0,361.188494725883,2317
1576,Wicked Cranium #1576,48.044642857142854,69.51814183617373,46.51163218390804,83.42635658914729,31.438498352911928,35.24836236933798,47.0,361.18763418862187,2318
1574,Wicked Cranium #1574,47.98083855055967,31.856279128353695,41.23371647509578,31.560117302052785,41.0996993580889,120.43190476190476,47.0,361.1625555760556,2319
1580,Wicked Cranium #1580,48.044642857142854,71.18125527723052,53.01477832512315,42.20392156862745,54.75362632604461,44.96124444444444,47.0,361.15946879861303,2320
6534,Wicked Cranium #6534,46.55872606774669,12.154315647827758,53.832907620263946,76.32624113475178,47.157747529367896,78.11799227799227,47.0,361.1479302779503,2321
8322,Wicked Cranium #8322,48.172761904761906,42.996769806188375,96.8992337164751,40.92015209125476,49.89780013810792,35.24836236933798,47.0,361.13508002612605,2322
