TOKEN_ID,TOKEN_NAME,Background,Clothes,Hat,Eyes,Fur,Mouth,Earring,NUM_TRAITS,RARITY_SCORE,Rank
886,Great Ape #886,39.79037267080745,53.191489361702125,44.66230936819173,34.9680170575693,65.15175591927539,45.67736185383244,38.67194868892661,41.0,363.11325492030505,1055
3463,Great Ape #3463,42.38164151333471,45.04504504504504,38.17504655493482,37.188208616780045,38.005190952910645,60.365135453474686,60.90314913844325,41.0,363.0634172749232,1056
3038,Great Ape #3038,42.38164151333471,57.4712643678161,36.738351254480285,55.59322033898305,38.41829085457272,37.38147337709701,54.039804929484646,41.0,363.0240466357685,1057
1927,Great Ape #1927,39.79037267080745,53.191489361702125,35.223367697594504,60.74074074074074,37.010290666185234,60.365135453474686,35.673888453841464,41.0,362.9952850443462,1058
2054,Great Ape #2054,40.787902904894544,33.557046979865774,54.886211512717544,37.70114942528736,56.102900930487145,63.27160493827161,35.673888453841464,41.0,362.98070514536545,1059
664,Great Ape #664,40.787902904894544,43.29004329004329,38.497652582159624,37.188208616780045,61.469265367316346,63.27160493827161,37.46345029239766,41.0,362.9681279918632,1060
2021,Great Ape #2021,40.449881610102594,71.94244604316548,35.223367697594504,35.729847494553375,38.734057628719896,60.365135453474686,39.51045581574636,41.0,362.9551917433569,1061
8417,Great Ape #8417,39.46861763573354,57.14285714285714,35.497835497835496,35.42116630669547,58.421202621829586,35.078713210130054,60.90314913844325,41.0,362.93354155352455,1062
84,Great Ape #84,40.787902904894544,50.5050505050505,49.51690821256039,58.99280575539569,39.713289422704385,45.67736185383244,36.738351254480285,41.0,362.9316699089182,1063
1,Great Ape #1,42.38164151333471,37.03703703703704,92.34234234234233,35.42116630669547,40.50983104436321,38.56282919488338,35.673888453841464,41.0,362.9287358924976,1064
