TOKEN_ID,TOKEN_NAME,body,hats,shirt,face,tier,RARITY_SCORE,Rank
2903,Cool Cat #2903,95.0,144.9516129032258,160.20967741935485,817.0,796.9890202702703,2014.150310592851,24
8539,Cool Cat #8539,95.0,144.9516129032258,220.73333333333335,686.2800000000001,796.9890202702703,1943.9539665068296,25
7049,Cool Cat #7049,95.0,144.9516129032258,177.375,686.2800000000001,796.9890202702703,1900.595633173496,26
2618,Cool Cat #2618,95.0,144.9516129032258,174.26315789473685,686.2800000000001,796.9890202702703,1897.4837910682331,27
5168,Cool Cat #5168,95.0,149.21489563567363,160.20967741935485,686.2800000000001,796.9890202702703,1887.693593325299,28
7834,Cool Cat #7834,95.0,149.21489563567363,155.203125,686.2800000000001,796.9890202702703,1882.6870409059443,29
5909,Cool Cat #5909,95.0,120.79301075268816,168.35593220338984,903.0,236.38151302605212,1523.53045598213,30
2226,Cool Cat #2226,95.0,120.79301075268816,168.35593220338984,903.0,236.38151302605212,1523.53045598213,31
5635,Cool Cat #5635,95.0,144.9516129032258,134.22972972972974,903.0,236.38151302605212,1513.5628556590075,32
6430,Cool Cat #6430,95.0,144.9516129032258,129.0,903.0,236.38151302605212,1508.333125929278,33
6472,Cool Cat #6472,95.0,120.79301075268816,183.94444444444446,857.85,236.38151302605212,1493.9689682231847,34
587,Cool Cat #587,95.0,144.9516129032258,157.66666666666666,857.85,236.38151302605212,1491.8497925959446,35
3493,Cool Cat #3493,95.0,144.9516129032258,132.44,857.85,236.38151302605212,1466.6231259292779,36
6750,Cool Cat #6750,95.0,149.21489563567363,125.73417721518987,857.85,236.38151302605212,1464.1805858769155,37
7448,Cool Cat #7448,95.0,149.21489563567363,122.62962962962965,857.85,236.38151302605212,1461.0760382913554,38
5943,Cool Cat #5943,95.0,120.79301075268816,191.01923076923077,817.0,236.38151302605212,1460.1937545479711,39
1874,Cool Cat #1874,95.0,149.21489563567363,143.95652173913044,817.0,236.38151302605212,1441.5529304008562,40
2325,Cool Cat #2325,95.0,120.79301075268816,168.35593220338984,817.0,236.38151302605212,1437.53045598213,41
5824,Cool Cat #5824,95.0,144.9516129032258,143.95652173913044,817.0,236.38151302605212,1437.2896476684084,42
1298,Cool Cat #1298,95.0,120.79301075268816,157.66666666666666,903.0,157.90411646586347,1434.3637938852185,43
3662,Cool Cat #3662,95.0,149.21489563567363,134.22972972972974,817.0,236.38151302605212,1431.8261383914553,44
845,Cool Cat #845,95.0,144.9516129032258,134.22972972972974,817.0,236.38151302605212,1427.5628556590075,45
8665,Cool Cat #8665,95.0,149.21489563567363,115.5,817.0,236.38151302605212,1413.0964086617257,46
