,TOKEN_ID,USER,DATE,RANK,PRICE
905,1979,0xbf994c0b18fd6cd008d1d245be2cc86a56baa2c7,2021-09-13T04:01:12.532216,407,1.15
696,5542,0x5e42d39b0460b1abf1dbf6d6ff70a25ddda49512,2021-09-13T08:44:19.770542,408,1.05
1849,1910,0xab621ff6d5a0d70d05da5c755d56e4f55aba01ad,2021-09-12T21:46:48.081270,409,0.8979
2173,7299,0x046a0ab9cc2c01b78b569b33e5ecccf35fc5230d,2021-09-12T20:56:47.086948,411,0.9
1134,1800,0xc3baa0fa5f21af0157548bebf57028516fca7a71,2021-09-13T01:24:15.535417,413,0.99
3842,1800,0x33705754d3fe3918992c888fb8cd099c85b92d1e,2021-09-12T19:42:00.065817,413,0.82
1088,8164,0xc3baa0fa5f21af0157548bebf57028516fca7a71,2021-09-13T01:51:50.136732,415,1.0575337853473412
920,2002,0xebc3bb163bbb54127ae5b2fb318711aedaa05776,2021-09-13T03:53:05.595008,416,1.175
4168,513,0x438423be6d30534fb862515031e9acb596dff39e,2021-09-09T23:06:56.018853,418,2.19
3141,4694,0x10d514c93b29dd8eb175426a21aa79aa0e9ca5f6,2021-09-12T20:01:33.985629,419,0.49
1503,4277,0x913d4ce4e8d3f9a9f80b859af545f1b616cb8cb3,2021-09-12T23:10:27.341429,423,0.898
3217,4277,0x55726875a7cac087cf149535a6b91360965f8b3c,2021-09-12T19:58:54.000831,423,0.65
2185,4370,0xf307ff167cd4320ef1333441e095b4bdfd39d4b1,2021-09-12T20:56:05.210742,425,0.91
2307,4370,0x82542583a7d656ff8a910edb70cbbe69ee5cfeb2,2021-09-12T20:43:20.449313,425,0.9
1786,1602,0xbc4d9bac670e0d745864db1a6e3590cedd0ef316,2021-09-12T21:58:37.312947,429,0.77
402,3848,0x713b8c9f2713a07a43eda78b454beab9d9e96015,2021-09-13T15:36:50.702900,434,0.9
3129,3341,0x73e4fdd812a1c28706cfbd03249731ef50f6f520,2021-09-12T20:01:39.621110,436,0.78
160,1842,0xa800405ac30db6af1842807b8404a4a79689e5be,2021-09-13T20:39:39.701390,438,0.88
511,3118,0xf89477bd7bf4857bbd4ce28cbf604eedf614c445,2021-09-13T12:41:36.553541,443,1.099558028947947
3720,3118,0x2cb896e583a792baaf0a227c06a187591ef7d698,2021-09-12T19:45:06.327520,443,0.68
3042,5073,0x34558f1219a6c45971c23cae650b2ec3f6a49558,2021-09-12T20:05:00.557827,444,0.69
1995,6227,0x09c051b4222e2e79b3814632671d90aaeaf348c3,2021-09-12T21:22:12.185514,447,0.8
