,block_numbers,timestamps,base_fee
200,13213068,2021-09-12 20:15:53,130.280240422
201,13213069,2021-09-12 20:16:23,146.084644954
202,13213070,2021-09-12 20:16:34,139.649910948
203,13213071,2021-09-12 20:17:08,157.081747158
204,13213072,2021-09-12 20:17:19,154.2334489
205,13213073,2021-09-12 20:17:46,162.00124047
206,13213074,2021-09-12 20:17:48,143.550657291
207,13213075,2021-09-12 20:18:05,136.612237953
208,13213076,2021-09-12 20:18:35,153.674151936
209,13213077,2021-09-12 20:18:53,162.38308127
210,13213078,2021-09-12 20:18:58,146.322517664
211,13213079,2021-09-12 20:18:59,131.955868093
212,13213080,2021-09-12 20:19:11,127.201229954
213,13213081,2021-09-12 20:19:14,117.266088425
214,13213082,2021-09-12 20:19:22,125.513624164
215,13213083,2021-09-12 20:19:44,130.718901128
216,13213084,2021-09-12 20:19:52,122.063751539
217,13213085,2021-09-12 20:19:58,114.400808933
218,13213086,2021-09-12 20:19:59,103.640847776
219,13213087,2021-09-12 20:20:15,116.581854261
220,13213088,2021-09-12 20:20:28,121.425363006
221,13213089,2021-09-12 20:20:49,134.486177862
222,13213090,2021-09-12 20:20:56,140.700887247
223,13213091,2021-09-12 20:21:05,130.958223151
224,13213092,2021-09-12 20:21:14,123.789888681
225,13213093,2021-09-12 20:21:15,113.512537491
226,13213094,2021-09-12 20:21:31,126.579093383
227,13213095,2021-09-12 20:23:14,142.39766686
228,13213096,2021-09-12 20:23:26,128.503774614
229,13213097,2021-09-12 20:23:27,112.440802788
230,13213098,2021-09-12 20:23:30,126.477650246
231,13213099,2021-09-12 20:23:47,142.280795498
232,13213100,2021-09-12 20:23:49,150.34637669
233,13213101,2021-09-12 20:23:55,137.439597555
234,13213102,2021-09-12 20:24:15,131.970644612
235,13213103,2021-09-12 20:24:30,131.961859767
236,13213104,2021-09-12 20:24:47,128.758779918
237,13213105,2021-09-12 20:24:50,117.731364482
238,13213106,2021-09-12 20:24:51,103.014943922
239,13213107,2021-09-12 20:25:04,112.80719424
240,13213108,2021-09-12 20:25:15,106.103357866
241,13213109,2021-09-12 20:25:37,114.721566856
242,13213110,2021-09-12 20:25:48,106.793329541
243,13213111,2021-09-12 20:26:04,104.370360653
244,13213112,2021-09-12 20:26:20,96.573450269
245,13213113,2021-09-12 20:26:27,108.248866383
246,13213114,2021-09-12 20:26:50,121.777098869
247,13213115,2021-09-12 20:26:54,130.945023962
248,13213116,2021-09-12 20:27:01,134.942761815
249,13213117,2021-09-12 20:27:13,141.305597747
250,13213118,2021-09-12 20:27:20,126.718049782
251,13213119,2021-09-12 20:28:39,142.541038038
252,13213120,2021-09-12 20:28:54,160.296740838
253,13213121,2021-09-12 20:29:02,142.823255309
254,13213122,2021-09-12 20:29:10,141.893856189
255,13213123,2021-09-12 20:30:01,155.251442645
256,13213124,2021-09-12 20:30:15,148.129882837
257,13213125,2021-09-12 20:30:48,158.821452895
258,13213126,2021-09-12 20:31:44,178.179381607
259,13213127,2021-09-12 20:32:02,178.56000929
260,13213128,2021-09-12 20:32:23,169.28789505
261,13213129,2021-09-12 20:32:28,152.140604236
262,13213130,2021-09-12 20:32:35,149.053357573
263,13213131,2021-09-12 20:32:44,137.649500071
264,13213132,2021-09-12 20:32:47,127.84639174
265,13213133,2021-09-12 20:32:53,127.454604342
266,13213134,2021-09-12 20:33:00,120.115153256
267,13213135,2021-09-12 20:33:27,134.038316789
268,13213136,2021-09-12 20:33:30,122.783734272
269,13213137,2021-09-12 20:33:51,123.096992755
270,13213138,2021-09-12 20:33:57,115.401958673
271,13213139,2021-09-12 20:34:00,105.847958419
272,13213140,2021-09-12 20:34:03,103.098650317
273,13213141,2021-09-12 20:34:33,115.984458324
274,13213142,2021-09-12 20:34:46,119.277993597
275,13213143,2021-09-12 20:35:02,123.065546204
276,13213144,2021-09-12 20:35:08,108.408873458
277,13213145,2021-09-12 20:35:26,115.216424928
278,13213146,2021-09-12 20:36:27,119.291399444
279,13213147,2021-09-12 20:37:06,113.822907727
280,13213148,2021-09-12 20:37:14,128.033621874
281,13213149,2021-09-12 20:37:26,144.020805286
282,13213150,2021-09-12 20:37:35,152.334075023
283,13213151,2021-09-12 20:37:41,144.902513029
284,13213152,2021-09-12 20:38:02,142.880731736
285,13213153,2021-09-12 20:38:22,139.898479858
286,13213154,2021-09-12 20:38:46,143.27506607
287,13213155,2021-09-12 20:38:49,125.654577879
288,13213156,2021-09-12 20:38:55,123.274341954
289,13213157,2021-09-12 20:39:44,138.667127553
290,13213158,2021-09-12 20:39:52,148.493358627
291,13213159,2021-09-12 20:39:55,133.805426384
292,13213160,2021-09-12 20:40:26,144.291713796
293,13213161,2021-09-12 20:41:40,161.363565369
294,13213162,2021-09-12 20:42:27,181.523289775
295,13213163,2021-09-12 20:42:37,189.567957245
296,13213164,2021-09-12 20:42:39,165.938311375
297,13213165,2021-09-12 20:43:02,152.190551826
298,13213166,2021-09-12 20:43:09,163.573948007
299,13213167,2021-09-12 20:43:44,178.087270977
300,13213168,2021-09-12 20:44:36,192.823223105
301,13213169,2021-09-12 20:44:42,170.017300046
302,13213170,2021-09-12 20:44:44,152.674329902
303,13213171,2021-09-12 20:44:47,144.634048028
304,13213172,2021-09-12 20:44:51,141.64545782
305,13213173,2021-09-12 20:46:01,159.343986951
306,13213174,2021-09-12 20:46:13,179.177227597
307,13213175,2021-09-12 20:47:14,201.472956773
308,13213176,2021-09-12 20:47:20,180.359253908
309,13213177,2021-09-12 20:47:21,168.900401481
310,13213178,2021-09-12 20:47:32,158.046799752
311,13213179,2021-09-12 20:47:59,163.249970396
312,13213180,2021-09-12 20:48:02,143.653320152
313,13213181,2021-09-12 20:48:18,143.449512005
