,TOKEN_ID,USER,OFFER,DATE,RANK
44,3821,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.354,2021-12-15T14:43:43.738232,1498
45,4518,0xb5d8b0bafb98cc37a4e6350f2df355d8800fd30e,0.3773,2021-12-15T14:11:39.190649,3580
46,3821,0xebbaeed0a730d9de625db27c5c20d43477f2c1af,0.461892375,2021-12-15T13:10:15.154925,1498
47,3821,0xebbaeed0a730d9de625db27c5c20d43477f2c1af,0.461892375,2021-12-15T13:06:24.848969,1498
48,4683,0x5c89fb058436efc4c196d40c8097cd16f440ee73,0.46935,2021-12-15T11:59:34.501403,6249
49,4683,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.3888,2021-12-15T11:59:03.871011,6249
50,1696,0xb5d8b0bafb98cc37a4e6350f2df355d8800fd30e,0.385,2021-12-15T11:28:29.179399,565
51,5981,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.3888,2021-12-15T11:06:12.102038,3551
52,1696,0x05a20556c35bedd717ba48218d1644d37ef17499,0.351,2021-12-15T10:48:31.986212,565
53,1696,0xb5d8b0bafb98cc37a4e6350f2df355d8800fd30e,0.3701,2021-12-15T10:34:48.838009,565
54,8711,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.3068,2021-12-15T10:32:27.045665,4634
55,1696,0x8de4e946f716441a42a8ccd1b631e7fd21cc90f5,0.4725,2021-12-15T10:25:03.435461,565
56,1696,0x8de4e946f716441a42a8ccd1b631e7fd21cc90f5,0.4725,2021-12-15T10:25:00.319765,565
57,3821,0x05a20556c35bedd717ba48218d1644d37ef17499,0.351,2021-12-15T10:17:41.465357,1498
58,3919,0x05a20556c35bedd717ba48218d1644d37ef17499,0.351,2021-12-15T10:16:23.174145,1703
59,4518,0x05a20556c35bedd717ba48218d1644d37ef17499,0.351,2021-12-15T10:07:38.545723,3580
60,4683,0x05a20556c35bedd717ba48218d1644d37ef17499,0.351,2021-12-15T10:05:18.638755,6249
61,275,0x67b66c21616c80d0f019b0a4df799acaa22b154d,0.5705075794234375,2021-12-15T09:54:59.196441,5719
62,3821,0x67b66c21616c80d0f019b0a4df799acaa22b154d,0.4398975,2021-12-15T09:53:58.924914,1498
63,5981,0x05a20556c35bedd717ba48218d1644d37ef17499,0.351,2021-12-15T09:47:51.405255,3551
64,1696,0xb5d8b0bafb98cc37a4e6350f2df355d8800fd30e,0.3492,2021-12-15T09:18:32.891102,565
65,8486,0x05a20556c35bedd717ba48218d1644d37ef17499,0.351,2021-12-15T09:12:45.371057,8250
66,3919,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.346800000000001,2021-12-15T09:03:56.968125,1703
67,3919,0xc4ce4d2b4046f004a874ca049fbae06cbfad65ff,0.45,2021-12-15T08:29:41.659818,1703
68,1696,0xc4ce4d2b4046f004a874ca049fbae06cbfad65ff,0.45,2021-12-15T08:29:25.604439,565
69,8486,0xc4ce4d2b4046f004a874ca049fbae06cbfad65ff,0.45,2021-12-15T08:29:01.019673,8250
70,4518,0xb5d8b0bafb98cc37a4e6350f2df355d8800fd30e,0.3834,2021-12-15T08:08:53.019131,3580
71,3821,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.383,2021-12-15T08:04:58.322127,1498
72,5981,0x547be0f3fd009a68ed8c32ecc4b33b4bd4bdc287,0.49326988,2021-12-15T07:13:07.100904,3551
73,4683,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.3771,2021-12-15T05:37:56.862742,6249
74,3821,0xdd369055bcded8c0c55b5710b3c43cc53163aa76,0.41895,2021-12-15T05:34:41.160137,1498
75,3821,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.3771,2021-12-15T05:31:56.399323,1498
76,4518,0x5211015ff3d5150ed6f13659d63c592de5f22a8e,0.38,2021-12-15T05:29:18.628477,3580
77,5981,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.3771,2021-12-15T05:22:21.677925,3551
78,5981,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.3771,2021-12-15T05:21:51.734632,3551
79,5981,0x55d9d35f116d6138c69b4b141f1907a89508c2db,0.393,2021-12-15T05:05:59.754634,3551
80,4518,0xa9c4d3f5c478953456d4a7800e15eadd9c172e05,0.445,2021-12-15T05:04:12.359812,3580
81,4518,0xa9c4d3f5c478953456d4a7800e15eadd9c172e05,0.445,2021-12-15T05:04:09.659207,3580
82,3821,0x9354512f2e6aeb61f32a30fce0d9142a3e508b01,0.24,2021-12-15T05:03:45.210949,1498
83,3821,0x9354512f2e6aeb61f32a30fce0d9142a3e508b01,0.24,2021-12-15T05:03:44.327809,1498
84,3821,0x95c653557773bd57cb6633fee4b53a41976f5d73,0.399,2021-12-15T05:03:44.254570,1498
85,4518,0x55d9d35f116d6138c69b4b141f1907a89508c2db,0.393,2021-12-15T04:42:58.658469,3580
86,3821,0x5211015ff3d5150ed6f13659d63c592de5f22a8e,0.38,2021-12-15T04:42:46.531530,1498
87,8711,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.403,2021-12-15T04:23:34.129861,4634
88,5981,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.3387,2021-12-15T04:12:11.656940,3551
89,4518,0xb5d8b0bafb98cc37a4e6350f2df355d8800fd30e,0.3387,2021-12-15T04:08:55.231223,3580
90,3821,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.3387,2021-12-15T03:59:57.987085,1498
91,741,0x55d9d35f116d6138c69b4b141f1907a89508c2db,0.393,2021-12-15T03:48:18.987583,5192
92,741,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.383,2021-12-15T03:36:56.132279,5192
93,5980,0xb5d8b0bafb98cc37a4e6350f2df355d8800fd30e,0.3279,2021-12-15T03:14:07.971857,6242
94,5980,0xd4319e11779920530d35e4c2bc852fcb360b9100,0.525,2021-12-15T03:04:50.224188,6242
95,741,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.383,2021-12-15T03:00:22.226093,5192
96,5981,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.3279,2021-12-15T03:00:07.986842,3551
97,4518,0xb5d8b0bafb98cc37a4e6350f2df355d8800fd30e,0.3279,2021-12-15T02:27:57.937678,3580
98,741,0xcf3a3b5f14ab40909e893f2835904229cb6abfc8,0.3564,2021-12-15T01:57:39.276860,5192
99,8711,0x62e5365294fe79c7fd47c286a91327bba4023be7,0.55125,2021-12-15T01:21:48.210159,4634
100,8711,0x62e5365294fe79c7fd47c286a91327bba4023be7,0.55125,2021-12-15T01:21:45.400389,4634
101,741,0x5211015ff3d5150ed6f13659d63c592de5f22a8e,0.38,2021-12-15T01:17:01.729156,5192
102,5980,0x62e5365294fe79c7fd47c286a91327bba4023be7,0.5,2021-12-15T00:48:06.487976,6242
103,5980,0x62e5365294fe79c7fd47c286a91327bba4023be7,0.45,2021-12-15T00:47:48.985875,6242
104,4683,0x738b486bc4617890a1820054eeba1077814aaeea,0.4928175,2021-12-14T23:39:27.502557,6249
