,TOKEN_ID,USER,DATE,RANK,PRICE
2285,5439,0x9f14f09264723e81d7231551af40f745976d740b,2021-10-08T01:06:09.449781,135,5.5445
2480,5439,0x6f56338b053472b421084010613a718660420ca0,2021-10-08T00:12:25.031429,135,3.876
1275,2120,0x0d5a4efcd830458ef027c890061e2eeb51abe57f,2021-10-09T05:40:52.112356,136,5.85
3596,4249,0xdc690a2188fdaac60f32df790930957c57dff05e,2021-10-07T22:01:15.394095,140,4.49
2425,1394,0x71a9a4a74cc6ec04e453e2db8c9b575e16bf4ab7,2021-10-08T00:24:19.351343,146,4.1
2679,4686,0x0000e9a84df8c2963a9e4210df4d84d5d6836666,2021-10-07T23:26:10.842126,148,6.0
2315,93,0x270042a7623a90e6ebe6ae6e3263d61896b46906,2021-10-08T00:56:26.975199,150,6.0
2762,5145,0x0b13f13c0e99f24b96a835b787d1347b33d87776,2021-10-07T23:13:43.616689,153,6.4
387,1455,0x61c371ba956c7f2fbe0913843de98c5e55be8ee7,2021-10-12T04:15:17.006138,154,6.78
53,1455,0x261899ebc5300321c2fa9c88633bea620bd5a68c,2021-10-13T05:53:18.358858,154,6.79
2311,3089,0x11ce55ddad4af60797294c62d83d7f1520a79933,2021-10-08T00:57:11.046306,155,5.48
2215,8109,0x34978faf3a9f469da7248d1365ddf69ac099588c,2021-10-08T02:16:42.225728,156,5.4
3234,5264,0x7b6c5bb88de6ff263ba04c28ddcf868b12fe5ce2,2021-10-07T22:24:48.461077,157,6.0
4196,5264,0xa9a8fdc2945b781a54ebd6663b4c785a0ebbd867,2021-10-07T21:29:45.963730,157,4.0
4140,8022,0xc2e13041b5109ac7b66bc0e72b508f2b0668922f,2021-10-07T21:34:30.077421,161,4.2
421,5676,0x612461c1af3a69bc52f00b0e99384a4721198edb,2021-10-11T23:59:57.021970,163,6.647
3963,2781,0x510417bb3d49a420bdc125905a9f26d1732a6ed1,2021-10-07T21:46:09.575519,167,3.89
530,1217,0x60206b4b0eeefed1c5fb8f755527f72fa872b143,2021-10-11T14:14:19.687520,181,6.95
952,448,0x8385662da8bb98091091e65ecfb535744e5faa13,2021-10-09T21:23:30.672672,184,6.6
644,448,0x1f839e20ef67b0094d4aaabb5fdda605536925a8,2021-10-10T21:31:50.175709,184,7.35
865,7009,0x71009b95d6347c22a79e40a1d1862b19b5f72305,2021-10-10T00:52:16.321973,186,7.38
3427,1130,0x2465bd53a0e4f726dc6bf059e07979715c44dc0b,2021-10-07T22:10:26.377587,188,4.5
