,TOKEN_ID,USER,DATE,RANK,PRICE
2096,82,0xf4835d15ec30bd62ceb8dd2c5307265bdefada16,2021-09-22T21:16:59.441114,37,1.384
2200,167,0xf4835d15ec30bd62ceb8dd2c5307265bdefada16,2021-09-22T20:59:16.355916,40,1.5
3521,6807,0x7e94db9eadc401bcf993f8e6f38730b873b18173,2021-09-22T18:28:27.471891,46,0.135
3241,6807,0xf3ec442f4bea565cfdc63fb279bbe08aa78e407d,2021-09-22T18:54:04.225615,46,0.98
745,78,0x31c72d0d03adc76456d3c14a4fe19f8aa8307c16,2021-09-23T14:27:55.052049,51,1.89
1015,16,0x4791bc59e8bf9a12095c5a83612932adfead3809,2021-09-23T08:52:30.764032,54,1.42
843,79,0x3a6372b2013f9876a84761187d933dee0653e377,2021-09-23T12:52:42.111205,55,1.36
5291,54,0x0080dc966005600c1c0da76e17ee65cb5429de2c,2021-09-20T09:41:08.793999,63,0.106
2792,7325,0x42fe258c554c13746b7c6fb81a184aeb44c64169,2021-09-22T19:32:45.220389,64,1.0
3546,7325,0xb5bc66efacbdefffcc9878e6de08e1dbf80a5e5e,2021-09-22T18:25:54.728129,64,0.1
682,66,0xaa1c9726ca41740aaeb98cacd62cac5976fa238f,2021-09-23T15:27:19.577777,74,1.29
346,281,0xe8d848debb3a3e12aa815b15900c8e020b863f31,2021-09-23T22:03:29.346293,79,3.75
1553,281,0x5782c0ee93886c769b3fa14b1132267abc5a3bc4,2021-09-23T01:12:57.261044,79,1.0
6442,12,0x1831d004c7bf6a5abae2d882c9797102783a330f,2021-09-17T11:24:38.906298,83,0.2
5307,36,0xb587cdc5f974c250901c4ea15df5c1b8fd8cc6fe,2021-09-20T09:11:42.946745,84,0.106
704,68,0x3d5188ad2353e24634fbfc651b9978485bf02e52,2021-09-23T15:04:38.856162,87,1.39
413,6118,0x2865ec116a7742a0f3a0cad741f994e2c01ee6dc,2021-09-23T20:37:33.650112,93,0.666
3916,6118,0x2865ec116a7742a0f3a0cad741f994e2c01ee6dc,2021-09-22T17:57:43.278348,93,0.12
842,67,0x3a6372b2013f9876a84761187d933dee0653e377,2021-09-23T12:52:42.058268,95,1.27
5319,40,0x51c3016d6699480ec6becdf2155079c27ebae040,2021-09-20T08:59:47.158408,98,0.107
1247,191,0x91e84026180d7b7b7f1b15c1efe4f14a7bb4a17b,2021-09-23T05:07:54.232894,102,1.0
3491,208,0xa5de01014b50854a91259029c98c92fd8c5a2414,2021-09-22T18:30:45.935163,103,0.333
4736,131,0x98781e471767dfca0f8102e1aefb94dfe7888d85,2021-09-22T14:32:12.621670,105,0.1555
2423,6837,0xb7f9f538aa1b41ae2853eb63f1939187ffe70eb4,2021-09-22T20:19:27.539811,108,1.5
5331,49,0x51c3016d6699480ec6becdf2155079c27ebae040,2021-09-20T08:48:00.323142,110,0.107
1534,10184,0x26db774e3c5ed9d8930e89aadd598cb6e498d369,2021-09-23T01:20:40.329985,117,1.5
3987,10184,0x6d6a605bcc6d81d0dbbc3fb124d0d89faf9bf311,2021-09-22T17:53:59.114223,117,0.12
3054,10184,0xead6605b9e105e28bd35e9f494131c10c1281ce9,2021-09-22T19:10:17.189000,117,0.6
5306,207,0x31d08a68629bd2b8d00fedab78b0081783bf17a8,2021-09-20T09:15:57.915097,118,0.1066
1963,72,0x3a67599d88f73c2291cd6c952d2615bcf3c4ca3c,2021-09-22T21:43:18.829392,120,0.89
2088,62,0x3d09d41df5c5bda3f78aabd2d2929f04dae1ed38,2021-09-22T21:18:03.847702,122,0.75
4635,62,0xc52a04be765fabd6da4693a77f189d1b0f67825b,2021-09-22T17:01:09.910947,122,0.1489
2246,10398,0x66d5527411d821cb513f2d214bbbc0ad73586b35,2021-09-22T20:52:06.190702,124,0.97
3510,10398,0xd54faafbe111157eed25bb8b2ed1402a0f921210,2021-09-22T18:29:07.057844,124,0.14
1765,10398,0x21c2972059c5f79ded07af9872375d61a72f7322,2021-09-22T23:09:56.516767,124,1.6
863,84,0x3a6372b2013f9876a84761187d933dee0653e377,2021-09-23T12:31:57.217790,125,0.87
5310,50,0xb961d17dbce3fa9f54959fa7ca245ce511d28dfd,2021-09-20T09:10:44.449895,126,0.107
