,block_numbers,timestamps,base_fee
153,13276919,2021-09-22 17:42:28,111.835805661
154,13276920,2021-09-22 17:42:56,120.614056201
155,13276921,2021-09-22 17:43:04,112.442035765
156,13276922,2021-09-22 17:43:23,114.899652293
157,13276923,2021-09-22 17:43:30,108.481315587
158,13276924,2021-09-22 17:43:34,101.441722552
159,13276925,2021-09-22 17:43:41,102.001580264
160,13276926,2021-09-22 17:44:10,113.905977826
161,13276927,2021-09-22 17:44:12,103.414766457
162,13276928,2021-09-22 17:44:21,91.832853823
163,13276929,2021-09-22 17:44:22,98.85045692
164,13276930,2021-09-22 17:45:01,111.20275544
165,13276931,2021-09-22 17:45:04,105.660598227
166,13276932,2021-09-22 17:45:26,104.256984866
167,13276933,2021-09-22 17:46:22,117.270946407
168,13276934,2021-09-22 17:46:53,131.929593847
169,13276935,2021-09-22 17:46:55,145.747664445
170,13276936,2021-09-22 17:47:06,134.32132083
171,13276937,2021-09-22 17:47:08,121.839528883
172,13276938,2021-09-22 17:47:24,119.899544062
173,13276939,2021-09-22 17:47:25,106.466457712
174,13276940,2021-09-22 17:47:28,105.675466939
175,13276941,2021-09-22 17:47:44,106.900454044
176,13276942,2021-09-22 17:47:47,95.758405904
177,13276943,2021-09-22 17:48:12,107.71246396
178,13276944,2021-09-22 17:48:15,106.996807988
179,13276945,2021-09-22 17:48:40,118.372940968
180,13276946,2021-09-22 17:48:45,110.512433173
181,13276947,2021-09-22 17:49:04,110.48328644
182,13276948,2021-09-22 17:49:16,106.233146326
183,13276949,2021-09-22 17:50:11,119.506203342
184,13276950,2021-09-22 17:50:13,134.414853171
185,13276951,2021-09-22 17:50:19,120.259624984
186,13276952,2021-09-22 17:50:21,107.041560879
187,13276953,2021-09-22 17:50:54,120.406020864
188,13276954,2021-09-22 17:51:06,117.62585688
189,13276955,2021-09-22 17:51:26,121.994904657
190,13276956,2021-09-22 17:51:57,126.733889453
191,13276957,2021-09-22 17:52:07,116.81589741
192,13276958,2021-09-22 17:52:08,102.213910234
193,13276959,2021-09-22 17:52:16,114.983487225
194,13276960,2021-09-22 17:52:28,114.530060384
195,13276961,2021-09-22 17:52:44,110.851185913
196,13276962,2021-09-22 17:52:48,106.783029605
197,13276963,2021-09-22 17:52:55,98.457351665
198,13276964,2021-09-22 17:53:25,107.436346252
199,13276965,2021-09-22 17:53:28,107.279975825
200,13276966,2021-09-22 17:53:36,96.791884877
201,13276967,2021-09-22 17:53:44,96.838490169
202,13276968,2021-09-22 17:53:51,88.631330308
203,13276969,2021-09-22 17:54:01,91.142563889
204,13276970,2021-09-22 17:54:06,82.795407371
205,13276971,2021-09-22 17:54:08,74.133847419
206,13276972,2021-09-22 17:54:18,75.894066665
207,13276973,2021-09-22 17:55:20,85.379053504
208,13276974,2021-09-22 17:55:26,96.048471164
209,13276975,2021-09-22 17:55:33,108.025118416
210,13276976,2021-09-22 17:56:06,113.598306215
211,13276977,2021-09-22 17:56:13,106.795220785
