Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $3928.39/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0xbc2cf14047d26673578928cc931f28cad0029fdfc7b79d58fe19a5db7c7a4582,13276877,1632331833,9/22/21 17:30,0x768d9874e4f127724a7db05044f3fac70833e105,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.237,0,931.02843,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x2bee40c99b0ef8766374fb9e507906ca5d55963097a377ef3cb0560b2c57c80d,13276877,1632331833,9/22/21 17:30,0xf364a1c6a837c639160afee885ce374058b526fb,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.079,0,310.34281,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x5322eea9b474a8a13fac40b0cb17c4a92ffdfcce7bfed8a4c37f379065bcbb7f,13276877,1632331833,9/22/21 17:30,0x51bd1aacb21df2056a214b4251542f738a2a76cc,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.395,0,1551.71405,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0xbf5d12d3b88545f236af63715ed84f4c4942d334f07505b043cf40c9f339ea41,13276877,1632331833,9/22/21 17:30,0xf22b3e9fdfac016fa197c2326c84657ba4f78f78,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.079,0,310.34281,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0xedc95e3f718e97038b8ce0408cf631d12a92d500ec21d6ffb2f02a8d4adc5091,13276877,1632331833,9/22/21 17:30,0x6e8e5a1dcfc3cc93e42ca79d672bb87153e07b1e,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.158,0,620.68562,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x66f390db185af37d4d534fde81aace2e83516078532463b1d60a0e7c9c171742,13276877,1632331833,9/22/21 17:30,0x65bfcde3aed612795ce2685118133137ed1407f4,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.79,0,3103.4281,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x15832b2f9a53aa498be5234a40605a7b51fbdad751eb7b09768c8a648ceb5fad,13276877,1632331833,9/22/21 17:30,0x2ac81c02fbfa8fc432d572f2894ea61554d11dd0,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.158,0,620.68562,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x095e3e43901c24f6bb0b62d464436266817dbbbad0efa4a01cf1933cf8da2dd6,13276877,1632331833,9/22/21 17:30,0xaf7240360b32dc9c6558cc8e1be2546a180a8a2b,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.395,0,1551.71405,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x4bbd550a4825bfbf18acd47af20988192e23d33fa3a8cd778e21836fa96ca1ae,13276877,1632331833,9/22/21 17:30,0x26fde8bc38cf040fb5b8e871a9ab2d112cb21c5e,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.158,0,620.68562,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x2659b45d34c122147125fbd4a145ad67b6f0ed4bcd61a1550b0d4e699d526b6c,13276877,1632331833,9/22/21 17:30,0x2cfe77ed09f9a1a761bf4f901f85d083c26fa7de,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.079,0,310.34281,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0xe2fdf9663ba7adfcdffa62e92a2201f3b58e15b31ca25187adf98595ca4290d2,13276877,1632331833,9/22/21 17:30,0xd77c328bfa2bb98305be64e8a3e99a0ebcbea491,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.079,0,310.34281,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x885f248bd480c806e76a15b11e29fdafc2225c2353026ed8972c7d8740a4cded,13276877,1632331833,9/22/21 17:30,0x7ef61cacd0c785eacdfe17649d1c5bcba676a858,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.869,0,3413.77091,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x8c769113e2c63fbe37bf1e3ea917032916a2d72a34bb3c5cd58e5707c3610b93,13276877,1632331833,9/22/21 17:30,0x92abe55e409373cb705fda3c0d865ff985133054,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.32,0,1257.0848,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x9cf3837d8b39fa21af580dc8b7e5355ebb51aae80b868f760c3788d3d6b9d40e,13276877,1632331833,9/22/21 17:30,0x02dd1a95bfbab29cdc976fe2df3a7b40be989c41,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.079,0,310.34281,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0x5e00393be6a0658365dfc61778830ecc7cc1079ab90173a01e98cdef400d4e3a,13276877,1632331833,9/22/21 17:30,0x27a46193cb5ebe0ba8866e4adb9f64d5aacac495,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.079,0,310.34281,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0xa3df6410eead56b6a7528700828e5510587ab44b013e541a8cd53852a82fa618,13276877,1632331833,9/22/21 17:30,0x45a5c8a2ea84f48537a74e2e8f96790c90a0046c,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.158,0,620.68562,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0xcf3e5c275a982bd71ce418ae9bbed82ce10e9b95e2f3de0e83ae583e778c63ea,13276877,1632331833,9/22/21 17:30,0x6c05a719917dbb098b86f9e3a30bce55e6ccf39e,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.079,0,310.34281,0.00588411,23.11507729,3078.88,Error(0),Reverted,Mint
0xcea8070c69736edad365aac91a1dcb9e3ee484f2eec71ca6f1e280102fd7d4cf,13276878,1632331847,9/22/21 17:30,0x766a6923a62d062fa6da59f91d9b669a85bc7b15,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.79,0,3103.4281,0.006785763,26.65712361,3078.88,Error(0),Reverted,Mint
0x1ded6a2b09fcee9a59d602ac7618249277f2943a6de0d622a511a73b35809faf,13276878,1632331847,9/22/21 17:30,0xa2d638ada840080de73971e49a52eaf00ce18474,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,1.738,0,6827.54182,0.007191805,28.25221494,3078.88,Error(0),Reverted,Mint
0x7bef90abc2211c3bbb962c2ceead5466c4fecedae55136306dac2faf14b17107,13276878,1632331847,9/22/21 17:30,0x317fdbf289a41435df30efcb00015f95b1eaddfe,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.79,0,3103.4281,0.006611745,25.97351303,3078.88,Error(0),Reverted,Mint
0xc3cce65ca72c788c01e1f63de51bd660a73c1376badc5d59888fb395198b3bf3,13276878,1632331847,9/22/21 17:30,0x13317023bf6fe079ec1b4f2200e7b0a131be74d4,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.158,0,620.68562,0.0145015,56.96754759,3078.88,Error(0),Reverted,Mint
0x0eed0c16a11a994e656ef2a8b66400a127c7d218afda2e09eddb28089a25344b,13276878,1632331847,9/22/21 17:30,0xe2cc4435f4b69c1454a36aec87770ae496446dba,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.158,0,620.68562,0.012354339,48.53266188,3078.88,Error(0),Reverted,Mint
0xdfda4c5bb5e51e68806c13768aa524c4d115c946d385c21a58fc46e6af80a755,13276878,1632331847,9/22/21 17:30,0xa54f56f905a2d7e3f68f6cace924dc74cf55bbc2,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.79,0,3103.4281,0.009889084,38.84817879,3078.88,Error(0),Reverted,Mint
0x85ede390f2d40dfcdb6ead5980f100d377590b631b80410c3ae56c34b28a8fb7,13276878,1632331847,9/22/21 17:30,0x03988dfd80b49cf05224aecdccd499a88e95d4cb,0xa7ee407497b2aeb43580cabe2b04026b5419d1dc,,0.395,0,1551.71405,0.009748941,38.29764197,3078.88,Error(0),Reverted,Mint
