,txid,to_account,TOKEN_ID,current_owner,rank
10050,0xdcccaef5cdc2e59ccd978f7b0d5b313e58d1f2bb65a4522d19a6619552fdebbf,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,22,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,7787
10044,0xdcccaef5cdc2e59ccd978f7b0d5b313e58d1f2bb65a4522d19a6619552fdebbf,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,23,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,4882
10051,0xdcccaef5cdc2e59ccd978f7b0d5b313e58d1f2bb65a4522d19a6619552fdebbf,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,24,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,6363
10052,0xdcccaef5cdc2e59ccd978f7b0d5b313e58d1f2bb65a4522d19a6619552fdebbf,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,25,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,2653
10053,0xdcccaef5cdc2e59ccd978f7b0d5b313e58d1f2bb65a4522d19a6619552fdebbf,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,26,0x719d46bf5e6fa7bb63025e40d802da2e3a133426,8478
10042,0x9ed20ed131a9c16274cd4bee4c2a32ad705f5eeb554632b44c0898eb871053b8,0xc1e42f862d202b4a0ed552c1145735ee088f6ccf,27,0xc1e42f862d202b4a0ed552c1145735ee088f6ccf,9389
10040,0x49c142badec332c6f9d35b530df551a5e5d60d8ae5966f38e61851cc6224ca28,0xa5b9d5ef4f96c9f6847e3f93403e954dd6e93610,28,0xa5b9d5ef4f96c9f6847e3f93403e954dd6e93610,10016
10039,0x7a960c906c32a2623cdc6f5b06ad0e130eeea56cbc9296335be129e9f3c6fbfd,0x73aeab4d6562277bd0380f8bcf6a658fcfb0da3e,29,0x73aeab4d6562277bd0380f8bcf6a658fcfb0da3e,4874
10041,0x90186ec02754d67c7281d491eb741946a41434b9e9589bb6ff152de8ff57914d,0xc1e42f862d202b4a0ed552c1145735ee088f6ccf,30,0xc1e42f862d202b4a0ed552c1145735ee088f6ccf,1718
10038,0xded177001e36f173369e9d02c92e113f5fca465af6c0013d85531261bf5cf0de,0x4df443e369e9eac5f164d2aa0c1f5ce259f1a4f0,31,0x41c86f85e2f048c3c48cd81c8fddfdd5a86dda2f,6004
10030,0xf5ebe5ab7e6848058d82d23cdaa7f9b00368fa6418643d59d6d561173bd4dfd8,0x883eb80c3a9591e8647c11d75fcbeec2ce0ef057,32,0x883eb80c3a9591e8647c11d75fcbeec2ce0ef057,6422
10031,0xf5ebe5ab7e6848058d82d23cdaa7f9b00368fa6418643d59d6d561173bd4dfd8,0x883eb80c3a9591e8647c11d75fcbeec2ce0ef057,33,0x883eb80c3a9591e8647c11d75fcbeec2ce0ef057,9955
10033,0xf5ebe5ab7e6848058d82d23cdaa7f9b00368fa6418643d59d6d561173bd4dfd8,0x883eb80c3a9591e8647c11d75fcbeec2ce0ef057,34,0x883eb80c3a9591e8647c11d75fcbeec2ce0ef057,8299
10034,0xf5ebe5ab7e6848058d82d23cdaa7f9b00368fa6418643d59d6d561173bd4dfd8,0x883eb80c3a9591e8647c11d75fcbeec2ce0ef057,35,0x883eb80c3a9591e8647c11d75fcbeec2ce0ef057,535
10036,0xf5ebe5ab7e6848058d82d23cdaa7f9b00368fa6418643d59d6d561173bd4dfd8,0x883eb80c3a9591e8647c11d75fcbeec2ce0ef057,36,0x883eb80c3a9591e8647c11d75fcbeec2ce0ef057,1456
10032,0x8efb23b19996cb0067e0067a74983f3b86241b847b1f19b367c40bdb19a44ba5,0x74477c2fdbc59eac66489be9fe4ba164dea2475b,37,0x22ef745f5f6680f394d6ac1c903426e2996dc280,8417
10035,0x8efb23b19996cb0067e0067a74983f3b86241b847b1f19b367c40bdb19a44ba5,0x74477c2fdbc59eac66489be9fe4ba164dea2475b,38,0x74477c2fdbc59eac66489be9fe4ba164dea2475b,3340
10037,0x1c0ba3ab903cd30635f2c8f6d611c63a23f02e59c5020882ab695c9bd24d85ad,0xd8a1e9eeec58865c99ab6c4faeb06845f3cbe00d,39,0xb5605dce63d93f3de1ff88fa1c3bb3bb72075e5d,7067
