,id,price,date_sold
1427,5066,0.001,2021-09-19T11:18:22
1426,4408,0.0001,2021-09-19T13:25:48
1423,4707,0.09,2021-09-20T22:19:46
1422,3682,0.13,2021-09-20T22:21:27
1420,3380,0.05,2021-09-20T22:24:59
1419,5577,0.04,2021-09-20T22:24:59
1418,4542,0.03,2021-09-20T22:26:59
1417,5500,0.0999,2021-09-20T22:28:40
1416,3469,0.0019,2021-09-20T22:52:54
1415,3062,0.0036,2021-09-20T22:55:12
1414,5414,0.025,2021-09-20T22:56:15
1413,3069,0.0033,2021-09-20T23:01:56
1412,4917,0.001,2021-09-20T23:03:44
1411,3468,0.0019,2021-09-20T23:03:44
1410,823,0.004,2021-09-21T04:41:35
1409,616,0.001,2021-09-25T01:56:47
1407,4544,0.06,2021-09-26T10:46:11
1406,5695,0.02,2021-09-26T11:13:38
1405,3150,0.01,2021-09-26T11:18:42
1404,3470,0.0019,2021-09-26T11:23:44
1402,2714,0.005,2021-09-26T11:29:17
1401,4253,0.005,2021-09-26T11:30:38
1400,3063,0.0036,2021-09-26T11:31:33
1398,2090,0.02,2021-09-26T11:37:21
1397,5564,0.003,2021-09-26T17:45:33
1394,5187,0.002,2021-09-26T23:41:42
1396,3466,0.0019,2021-09-26T23:41:42
1395,1651,0.002,2021-09-26T23:41:42
1393,5185,0.002,2021-09-26T23:41:53
1392,5567,0.003,2021-09-26T23:42:42
1391,5563,0.003,2021-09-26T23:42:42
1390,3067,0.0034,2021-09-26T23:43:02
1389,4256,0.004,2021-09-26T23:43:02
1388,3068,0.0034,2021-09-26T23:43:02
1387,826,0.004,2021-09-26T23:43:02
1386,595,0.0,2021-09-27T02:00:24
1385,5410,0.0025,2021-09-28T15:31:22
1384,1768,0.003,2021-09-28T20:01:20
1383,3949,0.003,2021-09-29T03:46:19
1382,4252,0.01,2021-09-29T03:50:18
1381,3075,0.003,2021-09-29T15:22:01
1380,5566,0.003,2021-09-30T08:25:05
1379,3947,0.003,2021-09-30T08:25:39
1378,3074,0.0031,2021-09-30T08:25:57
1377,3073,0.0031,2021-09-30T08:27:35
1376,3061,0.0037,2021-09-30T08:27:47
1375,3057,0.0038,2021-09-30T08:29:09
1374,64,0.005,2021-09-30T08:32:16
1373,2372,0.0045,2021-09-30T08:33:22
1372,3076,0.003,2021-09-30T08:48:55
