TOKEN_ID,TOKEN_NAME,hairstyle,apparel,background,earrings,eyes,eyewear,face filter,forehead accessory,head accessory,lips,necklace,nose,skin,tattoo,goddess,NUM_TRAITS,RARITY_SCORE,Rank
5261,8SIAN #5261,39.29540229885058,38.12322274881517,32.757935082045755,6.731380753138075,48.082981715893105,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,112.54979423868312,5.820611864857675,38.29671637611147,40.49093197127841,7.101209949628706,2.133221015849245,34.13153625358792,446.0059724744381,7376
507,8SIAN #507,27.459437751004018,48.16766467065868,33.21544814185086,6.731380753138075,48.082981715893105,9.818207926479035,13.786817895400128,7.914802488785993,82.27918170878459,41.68510897729005,5.820611864857675,37.843641898436424,39.775450843513674,7.101209949628706,2.133221015849245,34.13153625358792,445.94670385515815,7377
5913,8SIAN #5913,27.459437751004018,77.34615384615385,31.965404394576904,6.731380753138075,48.082981715893105,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,85.84306340238544,5.820611864857675,38.29671637611147,40.49093197127841,7.101209949628706,2.133221015849245,34.13153625358792,445.89367750016373,7378
2593,8SIAN #2593,67.03333333333333,76.60952380952381,41.723264683447745,6.731380753138075,44.864829396325455,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.972989564149785,5.820611864857675,37.56297211921439,39.645720084076245,7.101209949628706,2.133221015849245,34.13153625358792,445.8216210328313,7379
7232,8SIAN #7232,75.34325068870524,78.09708737864078,32.31285444234405,6.731380753138075,45.49168330006653,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,39.61987541648559,5.820611864857675,38.29671637611147,40.22295757040959,7.101209949628706,2.133221015849245,34.13153625358792,445.79341321552374,7380
1421,8SIAN #1421,69.59185750636134,76.60952380952381,39.37460408868414,6.731380753138075,45.13135313531353,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,40.51792592592592,5.820611864857675,37.56297211921439,40.49093197127841,7.101209949628706,2.133221015849245,34.13153625358792,445.6881565990621,7381
2798,8SIAN #2798,67.03333333333333,80.44,31.965404394576904,6.731380753138075,49.76273653566229,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.972989564149785,5.820611864857675,37.56297211921439,40.49093197127841,7.101209949628706,2.133221015849245,34.13153625358792,445.63735596097564,7382
5830,8SIAN #5830,75.34325068870524,75.17757009345794,32.48942741743882,6.731380753138075,45.49168330006653,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,42.38276770494344,5.820611864857675,37.843641898436424,40.49093197127841,7.101209949628706,2.133221015849245,34.13153625358792,445.6282611170874,7383
2423,8SIAN #2423,50.64740740740741,105.84210526315789,32.31285444234405,6.731380753138075,40.338643067846604,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.68510897729005,5.820611864857675,37.843641898436424,40.46397396064506,7.101209949628706,2.133221015849245,34.13153625358792,445.542723059888,7384
6730,8SIAN #6730,27.459437751004018,25.864951768488748,32.13819036427732,6.731380753138075,49.225341972642184,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.68510897729005,101.35112099314433,37.56297211921439,39.645720084076245,7.101209949628706,2.133221015849245,34.13153625358792,445.5212202080402,7385
1343,8SIAN #1343,66.06183574879228,72.46846846846846,41.723264683447745,6.731380753138075,49.76273653566229,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.68510897729005,5.820611864857675,37.56297211921439,39.775450843513674,7.101209949628706,2.133221015849245,34.13153625358792,445.44882541914944,7386
4571,8SIAN #4571,67.52987654320988,76.60952380952381,41.723264683447745,6.731380753138075,45.49168330006653,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,39.61987541648559,5.820611864857675,38.29671637611147,39.645720084076245,7.101209949628706,2.133221015849245,34.13153625358792,445.32564825568176,7387
6671,8SIAN #6671,25.60823970037453,48.16766467065868,41.723264683447745,6.731380753138075,40.338643067846604,9.818207926479035,13.786817895400128,7.914802488785993,82.27918170878459,41.68510897729005,5.820611864857675,38.29671637611147,39.775450843513674,7.101209949628706,2.133221015849245,34.13153625358792,445.3120581757541,7388
4369,8SIAN #4369,27.459437751004018,71.82142857142857,32.40090036725506,6.731380753138075,42.284477427334565,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,39.51683282762606,63.068373111956646,38.29671637611147,39.775450843513674,7.101209949628706,2.133221015849245,34.13153625358792,445.21199345413294,7389
4837,8SIAN #4837,69.06464646464646,78.86274509803921,39.37460408868414,6.731380753138075,41.139590854392296,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.972989564149785,5.820611864857675,37.843641898436424,40.49093197127841,7.101209949628706,2.133221015849245,34.13153625358792,445.15813798238725,7390
3590,8SIAN #3590,82.13093093093092,75.17757009345794,31.965404394576904,6.731380753138075,42.284477427334565,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,39.61987541648559,5.820611864857675,37.56297211921439,39.645720084076245,7.101209949628706,2.133221015849245,34.13153625358792,444.7959385088371,7391
5234,8SIAN #5234,67.52987654320988,86.49462365591398,31.965404394576904,6.731380753138075,45.49168330006653,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,39.61987541648559,5.820611864857675,37.56297211921439,39.645720084076245,7.101209949628706,2.133221015849245,34.13153625358792,444.719143556304,7392
2536,8SIAN #2536,20.30408314773571,78.86274509803921,31.625346901017576,6.731380753138075,52.757716049382715,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,85.84306340238544,5.820611864857675,38.29671637611147,40.46397396064506,7.101209949628706,2.133221015849245,34.13153625358792,444.56263297807766,7393
3704,8SIAN #3704,64.65626477541372,82.9278350515464,32.40090036725506,6.731380753138075,48.082981715893105,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.972989564149785,5.820611864857675,37.56297211921439,40.49093197127841,7.101209949628706,2.133221015849245,34.13153625358792,444.5038636075114,7394
6881,8SIAN #6881,24.246099290780144,25.69968051118211,31.965404394576904,6.731380753138075,49.76273653566229,9.818207926479035,13.786817895400128,7.914802488785993,105.76024748646557,41.68510897729005,5.820611864857675,37.56297211921439,40.22295757040959,7.101209949628706,2.133221015849245,34.13153625358792,444.34299503330783,7395
1852,8SIAN #1852,20.30408314773571,70.56140350877193,32.757935082045755,6.731380753138075,49.43890093998553,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,39.51683282762606,63.068373111956646,38.29671637611147,39.775450843513674,7.101209949628706,2.133221015849245,34.13153625358792,444.30807201564966,7396
7398,8SIAN #7398,75.34325068870524,74.48148148148148,32.757935082045755,6.731380753138075,45.49168330006653,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.68510897729005,5.820611864857675,38.29671637611147,39.775450843513674,7.101209949628706,2.133221015849245,34.13153625358792,444.24061479197474,7397
6545,8SIAN #6545,50.64740740740741,78.86274509803921,51.70056710775047,6.731380753138075,46.04309764309764,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.972989564149785,5.820611864857675,38.29671637611147,40.22295757040959,7.101209949628706,2.133221015849245,34.13153625358792,444.15546880972613,7398
1592,8SIAN #1592,65.58657074340528,67.03333333333333,51.92633377634326,6.731380753138075,46.04309764309764,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,39.51683282762606,5.820611864857675,37.843641898436424,39.775450843513674,7.101209949628706,2.133221015849245,34.13153625358792,444.1342491085162,7399
6135,8SIAN #6135,64.65626477541372,78.09708737864078,31.625346901017576,6.731380753138075,53.375487900078056,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.972989564149785,5.820611864857675,38.29671637611147,39.645720084076245,7.101209949628706,2.133221015849245,34.13153625358792,444.0786010222481,7400
7125,8SIAN #7125,63.30925925925926,75.17757009345794,41.723264683447745,6.731380753138075,48.082981715893105,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,40.51792592592592,5.820611864857675,38.29671637611147,40.49093197127841,7.101209949628706,2.133221015849245,34.13153625358792,444.0076380681344,7401
6684,8SIAN #6684,128.4018779342723,25.69968051118211,31.965404394576904,6.731380753138075,42.284477427334565,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.972989564149785,5.820611864857675,37.56297211921439,39.645720084076245,7.101209949628706,2.133221015849245,34.13153625358792,443.94211007756684,7402
245,8SIAN #245,20.30408314773571,39.6256157635468,32.757935082045755,6.731380753138075,86.65906210392902,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,89.37777777777777,5.820611864857675,38.29671637611147,40.49093197127841,7.101209949628706,2.133221015849245,34.13153625358792,443.92111026518546,7403
5292,8SIAN #5292,26.42473429951691,25.864951768488748,32.40090036725506,6.731380753138075,49.43890093998553,9.818207926479035,13.786817895400128,7.914802488785993,101.2948148148148,42.20617283950617,5.820611864857675,38.29671637611147,40.46397396064506,7.101209949628706,2.133221015849245,34.13153625358792,443.82895351405045,7404
1673,8SIAN #1673,37.362841530054645,38.12322274881517,31.965404394576904,6.731380753138075,49.76273653566229,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,112.54979423868312,5.820611864857675,37.56297211921439,39.775450843513674,7.101209949628706,2.133221015849245,34.13153625358792,443.51141045328075,7405
6195,8SIAN #6195,82.13093093093092,73.79816513761467,33.21544814185086,6.731380753138075,40.338643067846604,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,39.51683282762606,5.820611864857675,38.29671637611147,39.775450843513674,7.101209949628706,2.133221015849245,34.13153625358792,443.4811753682548,7406
711,8SIAN #711,75.34325068870524,72.46846846846846,30.806037395809863,6.731380753138075,48.082981715893105,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.972989564149785,5.820611864857675,37.843641898436424,40.49093197127841,7.101209949628706,2.133221015849245,34.13153625358792,443.4172897455018,7407
5648,8SIAN #5648,38.304761904761904,41.251282051282054,32.66794075489727,6.731380753138075,49.43890093998553,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,42.38276770494344,70.20818893595174,38.29671637611147,40.22295757040959,7.101209949628706,2.133221015849245,34.13153625358792,443.36189241624584,7408
3185,8SIAN #3185,64.20093896713615,78.09708737864078,39.37460408868414,6.731380753138075,44.864829396325455,9.818207926479035,13.786817895400128,7.914802488785993,8.971199895033784,41.68510897729005,5.820611864857675,38.29671637611147,40.22295757040959,7.101209949628706,2.133221015849245,34.13153625358792,443.15123079735815,7409
