TOKEN_ID,TOKEN_NAME,Background,Fur,Torso,Eyes,Head,Nose,Earring,Cake's Special Batch,NUM_TRAITS,RARITY_SCORE,Rank
2696,Caked Apes #2696,43.49110320284697,42.24699680235071,44.23891402714932,348.17663817663816,42.73076923076923,56.11111111111111,4792.549019607844,6.116616616616617,1771.159420289855,7146.820589065181,19
5792,Caked Apes #5792,46.64503816793893,42.567049808429125,89.6954128440367,46.769996172981244,47.52941176470588,107.76895943562612,4792.549019607844,6.116616616616617,1771.159420289855,6950.800924708034,20
1393,Caked Apes #1393,46.467680608365015,92.11230450348597,89.6954128440367,51.37032366540563,45.11675126903554,36.307189542483655,4792.549019607844,6.116616616616617,1771.159420289855,6930.894718947128,21
8419,Caked Apes #8419,46.55619047619048,43.669823119528324,52.28235294117647,92.16440422322776,45.579487179487174,40.655355954757155,4792.549019607844,6.116616616616617,1771.159420289855,6890.732670408683,22
1989,Caked Apes #1989,89.53113553113552,48.71835758421368,51.45684210526316,48.02436388643285,43.56862745098039,37.82420303311668,4792.549019607844,6.116616616616617,1771.159420289855,6888.948586105457,23
5895,Caked Apes #5895,46.467680608365015,40.039315259234996,44.23891402714932,51.16064887493459,91.62886597938144,37.407407407407405,4792.549019607844,6.116616616616617,1771.159420289855,6880.767888670788,24
2401,Caked Apes #2401,37.37308868501529,43.221927497789565,44.44,86.44385499557913,46.77894736842106,38.142946317103615,4792.549019607844,6.116616616616617,1771.159420289855,6866.225821378224,25
2724,Caked Apes #2724,45.26296296296296,41.62111536824181,43.842152466367715,42.63387406244549,81.54128440366972,38.142946317103615,4792.549019607844,6.116616616616617,1771.159420289855,6862.869392095106,26
5926,Caked Apes #5926,46.467680608365015,40.23043370915975,52.56344086021505,47.84106478762967,44.663316582914575,50.85726175613816,4792.549019607844,6.116616616616617,1771.159420289855,6852.448254818738,27
8658,Caked Apes #8658,38.98245614035088,45.80584707646177,54.61899441340782,46.25224713785599,44.21890547263681,50.85726175613816,4792.549019607844,6.116616616616617,1771.159420289855,6850.560768511166,28
79,Caked Apes #79,43.49110320284697,40.039315259234996,57.85088757396449,48.771824802953205,50.5,37.82420303311668,4792.549019607844,6.116616616616617,1771.159420289855,6848.302390386431,29
378,Caked Apes #378,43.49110320284697,42.353145035522445,40.06885245901639,46.769996172981244,46.77894736842106,51.827820186598814,4792.549019607844,6.116616616616617,1771.159420289855,6841.114920939702,30
1810,Caked Apes #1810,47.003846153846155,37.54243145687735,57.85088757396449,47.478632478632484,41.14814814814815,36.799156880457694,4792.549019607844,6.116616616616617,1771.159420289855,6837.648159206242,31
609,Caked Apes #609,43.49110320284697,40.23043370915975,43.452444444444446,51.58172417431677,50.21468926553672,38.142946317103615,4792.549019607844,6.116616616616617,1771.159420289855,6836.938397627723,32
1515,Caked Apes #1515,38.98245614035088,42.24699680235071,47.92549019607843,51.58172417431677,44.663316582914575,36.60077867625038,4792.549019607844,6.116616616616617,1771.159420289855,6831.825819086577,33
1802,Caked Apes #1802,41.3570219966159,40.039315259234996,45.68598130841122,47.121650279545015,48.04324324324324,38.142946317103615,4792.549019607844,6.116616616616617,1771.159420289855,6830.215214918469,34
686,Caked Apes #686,46.204158790170126,526.7672413793103,54.61899441340782,42.489352455454146,41.532710280373834,52.42814242814242,4288.070175438596,6.116616616616617,1771.159420289855,6829.386812091927,35
4183,Caked Apes #4183,38.98245614035088,39.8500040759762,39.4225806451613,43.52207977207977,44.21890547263681,37.20243531202435,4792.549019607844,6.116616616616617,1771.159420289855,6813.023517932545,36
7337,Caked Apes #7337,47.003846153846155,40.52055702917772,44.23891402714932,42.489352455454146,404.0,51.827820186598814,4288.070175438596,6.116616616616617,1771.159420289855,6695.426702197295,37
7646,Caked Apes #7646,46.55619047619048,106.6870362287211,52.56344086021505,45.414344109996286,88.88,50.479140850888065,4288.070175438596,6.116616616616617,1771.159420289855,6455.926364871079,38
7766,Caked Apes #7766,45.685981308411215,41.62111536824181,40.23374485596708,95.68212957525934,91.62886597938144,36.799156880457694,4288.070175438596,6.116616616616617,1771.159420289855,6416.997206312787,39
7814,Caked Apes #7814,43.49110320284697,106.6870362287211,45.68598130841122,43.67372464933441,46.291666666666664,54.97525865946919,4288.070175438596,6.116616616616617,1771.159420289855,6406.150983060517,40
2268,Caked Apes #2268,38.98245614035088,40.23043370915975,52.56344086021505,47.478632478632484,46.291666666666664,109.50716845878138,4288.070175438596,6.116616616616617,1771.159420289855,6400.400010658875,41
6048,Caked Apes #6048,46.64503816793893,39.8500040759762,45.05437788018433,48.771824802953205,43.56862745098039,109.50716845878138,4288.070175438596,6.116616616616617,1771.159420289855,6398.743253181882,42
2762,Caked Apes #2762,46.204158790170126,46.56506001143075,44.23891402714932,47.84106478762967,111.1,37.20243531202435,4288.070175438596,6.116616616616617,1771.159420289855,6398.497845273472,43
