TOKEN_ID,TOKEN_NAME,Eyes,Hair,Lips,Shirt,Skin,Trait Count,Glasses,Headwear,Iconic,RARITY_SCORE,Rank
1155,1989-sisters #1155,10.749914000687996,95.78544061302684,72.33796296296298,56.980056980056986,78.80220646178094,1157.4074074074076,1763.6684303350971,8.35421888053467,1322.7513227513227,4566.836960392878,34
1782,1989-sisters #1782,10.749914000687996,76.62835249042146,81.94034742707309,52.16484089723527,80.16674683341351,1157.4074074074076,1763.6684303350971,8.35421888053467,1322.7513227513227,4553.831581023193,35
660,1989-sisters #660,100.55304172951233,87.07767328456984,72.33796296296298,1234.5679012345681,99.56192751891678,1157.4074074074076,6.47613866708114,8.35421888053467,1322.7513227513227,4089.0875944368763,36
594,1989-sisters #594,10.749914000687996,73.6811081638668,101.75010175010176,925.9259259259261,74.07407407407408,1157.4074074074076,97.98157946306095,8.35421888053467,1322.7513227513227,3772.6756524169823,37
1749,1989-sisters #1749,10.749914000687996,79.8212005108557,77.80890133831312,925.9259259259261,78.80220646178094,1157.4074074074076,110.22927689594357,8.35421888053467,1322.7513227513227,3771.8503741727727,38
1617,1989-sisters #1617,10.749914000687996,81.5195239259803,76.52280379553108,925.9259259259261,80.16674683341351,1157.4074074074076,107.97969981643452,8.35421888053467,1322.7513227513227,3771.3775633372384,39
176,1989-sisters #176,167.58840288252054,48.49895727241865,101.75010175010176,49.38271604938272,84.5594452900389,183.95879323031642,6.47613866708114,8.35421888053467,21.20441051738762,671.7731845397823,40
1131,1989-sisters #1131,181.5541031227306,48.49895727241865,81.94034742707309,49.38271604938272,78.80220646178094,183.95879323031642,6.47613866708114,8.35421888053467,21.20441051738762,660.1718916287059,41
281,1989-sisters #281,181.5541031227306,48.49895727241865,83.41675008341676,49.38271604938272,74.07407407407408,183.95879323031642,6.47613866708114,8.35421888053467,21.20441051738762,656.9201618973427,42
1840,1989-sisters #1840,159.41335883947076,48.49895727241865,81.94034742707309,49.38271604938272,84.5594452900389,183.95879323031642,6.47613866708114,8.35421888053467,21.20441051738762,643.7883861737039,43
1768,1989-sisters #1768,139.06271728549578,48.49895727241865,85.73388203017834,49.38271604938272,99.56192751891678,183.95879323031642,6.47613866708114,8.35421888053467,21.20441051738762,642.2337614517121,44
14,1989-sisters #14,139.06271728549578,48.49895727241865,101.75010175010176,49.38271604938272,78.80220646178094,183.95879323031642,6.47613866708114,8.35421888053467,21.20441051738762,637.4902601144997,45
929,1989-sisters #929,139.06271728549578,48.49895727241865,77.80890133831312,49.38271604938272,99.56192751891678,183.95879323031642,6.47613866708114,8.35421888053467,21.20441051738762,634.308780759847,46
937,1989-sisters #937,139.06271728549578,48.49895727241865,94.4822373393802,49.38271604938272,80.16674683341351,183.95879323031642,6.47613866708114,8.35421888053467,21.20441051738762,631.5869360754107,47
1434,1989-sisters #1434,128.15583749839806,48.49895727241865,85.73388203017834,49.38271604938272,99.56192751891678,183.95879323031642,6.47613866708114,8.35421888053467,21.20441051738762,631.3268816646143,48
290,1989-sisters #290,159.41335883947076,48.49895727241865,77.80890133831312,49.38271604938272,74.07407407407408,183.95879323031642,6.47613866708114,8.35421888053467,21.20441051738762,629.1715688689792,49
1694,1989-sisters #1694,159.41335883947076,48.49895727241865,72.33796296296298,49.38271604938272,78.80220646178094,183.95879323031642,6.47613866708114,8.35421888053467,21.20441051738762,628.4287628813358,50
1908,1989-sisters #1908,139.06271728549578,48.49895727241865,89.89572096368214,49.38271604938272,81.22157244964264,183.95879323031642,6.47613866708114,8.35421888053467,21.20441051738762,628.0552453159418,51
