TOKEN_ID,TOKEN_NAME,Background,Mouth,Eyes,Fur,Headgear,Clothes,Trait Count,Earrings,Necklace,Signature,RARITY_SCORE,Rank
2536,kbaofficial #2536,7.6452599388379205,6.774608766343744,7.497375918428551,5.577244841048522,7.074136955291454,10.473397570171764,10.56859015007398,29.154518950437318,2.6299179465600675,2.50075022506752,89.89580126226085,3021
1828,kbaofficial #1828,7.49400479616307,8.151952392598028,13.590649633052461,25.252525252525253,9.658103148541626,15.943877551020408,2.8691111493659265,1.7875017875017876,2.6299179465600675,2.50075022506752,89.87839388239614,3022
5146,kbaofficial #5146,7.687576875768758,5.894488653109343,9.63948332369385,5.090094675760969,5.580980020091528,11.125945705384959,10.56859015007398,29.154518950437318,2.6299179465600675,2.50075022506752,89.87234652594829,3023
1577,kbaofficial #1577,7.802746566791511,5.894488653109343,8.029548739360848,5.639521768554026,9.658103148541626,43.029259896729776,2.8691111493659265,1.7875017875017876,2.6299179465600675,2.50075022506752,89.84094988158243,3024
4453,kbaofficial #4453,7.548309178743962,5.894488653109343,9.201324990798676,5.090094675760969,7.074136955291454,10.175010175010176,10.56859015007398,29.154518950437318,2.6299179465600675,2.50075022506752,89.83714190085347,3025
9024,kbaofficial #9024,8.012820512820513,5.699629524080935,10.068465565847767,4.408782294330306,8.81367882954345,43.029259896729776,2.8691111493659265,1.7875017875017876,2.6299179465600675,2.50075022506752,89.81991773184804,3026
1240,kbaofficial #1240,8.012820512820513,5.709065996802924,6.9051236017124715,5.0393065914130215,6.451612903225806,1.3972725240330874,2.8691111493659265,48.262548262548265,2.6299179465600675,2.50075022506752,89.77752971354961,3027
6319,kbaofficial #6319,7.183908045977011,6.774608766343744,7.175660160734788,4.220477758082215,15.43448062972681,1.3972725240330874,2.8691111493659265,39.57261574990107,2.6299179465600675,2.50075022506752,89.75880295579223,3028
9339,kbaofficial #9339,7.631257631257631,13.683634373289546,6.9051236017124715,4.220477758082215,8.335417187630242,1.3972725240330874,2.8691111493659265,39.57261574990107,2.6299179465600675,2.50075022506752,89.74557814689977,3029
5643,kbaofficial #5643,7.548309178743962,7.336757153338225,4.113533525298231,5.2246603970741905,7.848677497841614,1.3972725240330874,2.8691111493659265,48.262548262548265,2.6299179465600675,2.50075022506752,89.7315378598711,3030
4612,kbaofficial #4612,7.548309178743962,7.679901697258275,8.41609156707625,5.0393065914130215,3.140999466030091,10.32204789430223,2.8691111493659265,39.57261574990107,2.6299179465600675,2.50075022506752,89.71905146571842,3031
8649,kbaofficial #8649,7.617306520414382,10.912265386294195,6.9051236017124715,33.67003367003367,9.658103148541626,11.125945705384959,2.8691111493659265,1.7875017875017876,2.6299179465600675,2.50075022506752,89.6760591408766,3032
4371,kbaofficial #4371,7.71604938271605,6.966213862765587,7.631257631257632,5.2246603970741905,7.105300554213443,10.175010175010176,10.56859015007398,29.154518950437318,2.6299179465600675,2.50075022506752,89.67226927517596,3033
8736,kbaofficial #8736,7.876496534341525,7.336757153338225,6.8073519400953035,33.67003367003367,9.658103148541626,14.518002322880372,2.8691111493659265,1.7875017875017876,2.6299179465600675,2.50075022506752,89.65402587772601,3034
4578,kbaofficial #4578,7.687576875768758,8.389965601141036,9.761811792268647,5.0393065914130215,33.25573661456601,15.664160401002507,2.8691111493659265,1.7875017875017876,2.6299179465600675,2.50075022506752,89.58583898465527,3035
4818,kbaofficial #4818,7.548309178743962,6.59326168655634,7.497375918428551,5.0393065914130215,3.140999466030091,15.13317191283293,2.8691111493659265,36.63003663003663,2.6299179465600675,2.50075022506752,89.58224070503505,3036
