TOKEN_ID,TOKEN_NAME,Color,Case,Hands,Dial,Border,Bezel,Effect
116,#116 - Grateful Warrior,Yellow,Dark Blue Segments Blurred,Baton 37,Mixed Arabic 12,Ring 26,Big Iron,
117,#117 - Reading Blue Dancer,Blue Light,Dark Blue Black,Modern 4,Arabic 8,Octa 6,All Yellow,
118,#118 - Flexing Visionary,Olive,Light 3 of 4,Baton 91,Arabic 7,Ring Light 79,Light Rainbow Protection,Visionary
119,#119 - Bumping Green Poet,Orange,Black Forest Circles,Baton 34,Mixed Arabic 5,Ring 40,Heavy Left,
120,#120 - Reading Biker,Aero,Dark Meta Center,Leaf 1,Arabic 4,Ring 24,Lights,
121,#121 - Hovering Dark Bouncer,Blue Light,Dark Colorful Lights Blurred,Modern 8,Mixed Arabic 13,Ring 41,Light Iron,
122,#122 - Flexing Dark Sorcerer,Yellow,Dark Club Life,Dauphine 6,Mixed Arabic 3,Ring 25,Dots,
123,#123 - Flexing Red Singer,Aero,Dark Red Velvet,Syringe 1,Arabic 7,,,
124,#124 - Invisible Green Geek,Pink,Dark Olive Machine,Plongeur 2,Special 2,Ring 20,Colorful Ring,
125,#125 - Fishing Yellow Sailer,Blue,Light MW Focused Carved,Baton 92,Flieger 1,Ring Light 17,Medium Iron Protection,
126,#126 - Speaking Dark Spy,Aero,Dark Meta,Modern 4,Stick 2,Ring 52,Lights,
127,#127 - Caring Pink Tiger,Green Light,Dark Blue Mechanic,Baton 9,Arabic 9,Ring 39,Sharp Ring,
128,#128 - Galactic Pink Pianist,Green Light,Dark Velvet Machine,Dauphine 6,Mixed Arabic 14,Ring 46,Dots,
129,#129 - Spinning Light Architect,Magenta,Light Citrus,Alpha 6,Arabic 4,Ring Light 66,Four Sides,
130,#130 - Caring Dark Gladiator,White,Dark Pop With Lines,Baton 52,Mixed Arabic 12,Ring 44,,
131,#131 - Jumping Blue Singer,Red,Light 2 of 4,Baton 82,Mixed Arabic 16,Octa Light 5,Medium Iron Protection,
132,#132 - Shining Blue Conductor,Mint,Dark Neon Blue Carved,Baton 49,Special Arabic,Ring 31,Sharp Ring,
133,#133 - Infinite Dark Adventurer,Pink,Dark Colorful,Baton 51,Special 2,Ring 6,Gray Peaks,
134,#134 - Running Blue Looper,White,Dark Pixels,Dauphine 2,Stick 4,Ring 39,Big Iron,
135,#135 - Counting Dark Adventurer,Ash,Dark Velvet,Baton 18,Arabic 9,Ring 48,Light Handles,
136,#136 - Angry Light Poet,Blue Mid,Light Collage 2,Special 13,Diver 2,Ring Light 82,Light Iron Protection,
137,#137 - Unbreakable Blue Cowboy,Blue,Light Blue Grip,Dauphine 12,Mixed Arabic 12,Ring Light 27,Light Rainbow Protection,
138,#138 - Angry Explorer,Aero,Dark Meta Center,Lance 1,Arabic 4,Ring 58,Heavy Left,Explorer
139,#139 - Hovering Dancer,Peach,Dark Rainbow Button Carved,Flame 1,Arabic 3,Octa 1,Full Rainbow Protection,
140,#140 - Spinning Aquarius,Blue,Light Meta 1,Dauphine 18,Roman,Octa Light 1,Medium Iron Protection,Aquarius
141,#141 - Magical Dark Mechanic,Green Light,Dark Colorful,Breguet 2,Mixed Arabic 3,Octa 2,,
142,#142 - Magical Green Herold,Magenta,Light 1 of 4,Baton 92,Stick 5,Ring Light 67,Tiny Top,
143,#143 - Hiding Dark Architect,Peach,Dark Colorful Dotted,Baton 2,Mixed Arabic 3,,,
144,#144 - Drunken Dreamer,Peach,Dark Blue Segments Blurred,Dauphine 7,Arabic 4,Ring 51,Four sides,
145,#145 - Reading Blue Looper,Aero,Dark Blue Black,Baton 3,Arabic 8,Ring 41,Colorful Seasons,
146,#146 - Flexing Dark Painter,Aero,Dark PC Eye,Dauphine 9,Stick 1,,,
147,#147 - Caring Green Dancer,White,Black Forest at Night,Modern 8,Diver 2,Ring 35,Sharp Ring,
148,#148 - Invisible Astronaut,Blue Mid,Light Rainbow Carved,Baton 97,Roman,Ring Light 30,Full Ring,
149,#149 - Happy Pink Cruiser,Blue Light,Dark Velvet Machine,Baton 17,Flieger 3,Ring 64,Light Handles,
150,#150 - Lovely Dark Adventurer,White,Titan Button Dark,Plongeur 1,Special 3,Ring 15,Dots,
151,#151 - Lovely Blue Painter,Purple,Light Sky Box 2,Baton 59,Mixed Arabic 10,Octa Light 8,Sneaky Sides,
152,#152 - Shining Dark Looper,Lemon,Dark VVV,Modern 8,Arabic 4,Ring 9,Colorful Ring,
