TOKEN_ID,TOKEN_NAME,Hat,Ear,Hair,Beard,Clothes,Skin,Background,Eyes,Mouth,Cheek,Face
634,BUTTHEAD #634,Snapback Red,,Very Short,,Fleece Jacket,Light,Peach,Leon,Straw,,
635,BUTTHEAD #635,Safety Helmet,,Curly Brown,,T-Shirt Marigold,Dark Brown,Sand,,Cigarette,,
636,BUTTHEAD #636,Chatham Fedora,,Long Brown,,Bullseye Shirt,White,Grey,,Cigarette,,
637,BUTTHEAD #637,Commie Hat,,Dreads Brown,Scruff Brown,Denim Jacket Sheep,White with tattoos,Peach,Googly Eyes,Toothpick,,
638,BUTTHEAD #638,Beer,,Undercut Pink,,Puffer Jacket,White with tattoos,Gradient,Speed,Pipe,,
639,BUTTHEAD #639,Safety Helmet,,Fringe,Scruff Brown,Flamingo,Brown with tattoos,Peach,,,,
640,BUTTHEAD #640,Crown,,Emo Black,,Band Shirt,Dark Brown,Grey,Matrix,Cigarette,,
641,BUTTHEAD #641,,,Shoulder Long Colorful,Mustache Pink,Gigolo Outfit,Brown,Cyan,,,,
642,BUTTHEAD #642,,Feather,Afro,Three-Day Brown,Bullseye Shirt,Dark Brown with tattoos,Gradient,Hippie,,,
643,BUTTHEAD #643,Prison,Safety Pin,Mullet Brown,Mustache Brown,Dressing Gown,Light,Gradient,Burglar,Straw,,
644,BUTTHEAD #644,Bandana Black,,Undercut Pink,,Striped Blue T-Shirt,Dark Brown,Beige,,,,
645,BUTTHEAD #645,,,Average Blonde,,American Football,Infrared,Cyan,Speed,,,
646,BUTTHEAD #646,,,Punk Red,Gentlemen Mustache Pink,Hawaii Shirt Red,White with tattoos,Beige,,,,
647,BUTTHEAD #647,McButtheads,Triple Earring,Nick Bowl Colorful,Mustache Pink,Sleeveless Sweater,Light,Grey,,,,
648,BUTTHEAD #648,Flower Crown,,20s,Full Grey,Hoodie,Light with tattoos,Green,,,,
649,BUTTHEAD #649,Safety Helmet,,Long Brown,,Fan Shirt,White,Sand,,,,
650,BUTTHEAD #650,Beanie Green,,Crop,Gentlemen Mustache Blonde,T-Shirt French Blue,Dark Brown with tattoos,Cyan,3D,,,
651,BUTTHEAD #651,Visor Red,,20s,Gentlemen Mustache Brown,American Football,Porcelain,Sand,,Cigar,,
652,BUTTHEAD #652,Halo,,Long Blonde,Full Brown,Bullseye Shirt,White,Grey,,,,
653,BUTTHEAD #653,,Safety Pin,Very Short,,College Sweater,Light with tattoos,Pastel Green,Hippie,,,
654,BUTTHEAD #654,Beanie Black,Triple Earring,Half Bald,Mustache Brown,Gym Tank Top,Dark Brown,Green,,,,
655,BUTTHEAD #655,Beanie Red,Triple Earring,Long Brown,,Party Tank Top,Brown,Peach,,,,
656,BUTTHEAD #656,Snapback Mesh,,Surfer Curly,,Space Suit,Light,Grey,Kiss,,,
657,BUTTHEAD #657,Ranger Hat,Safety Pin,,,Ripped Shirt,Gold,Magenta,Spring,Cigarette,,
658,BUTTHEAD #658,Halo,,,Three-Day Blonde,Gym Tank Top,Dark Brown,Magenta,Hippie,Toothpick,,
659,BUTTHEAD #659,,,Afro Pink,,Gym Tank Top,White with tattoos,Cyan,Bike,,,
660,BUTTHEAD #660,Visor Green,,Shoulder Long Colorful,Scruff Blonde,Bathrobe,Dark Brown with tattoos,Peach,,,,
661,BUTTHEAD #661,Mesh Cap Buttheads,,Dreads Colorful,,Puffer Jacket,Dark Brown,Green,,Pipe,,
662,BUTTHEAD #662,Sailor,Safety Pin,Long Brown,Full Blonde,Caveman,Light,Gradient,,,,
663,BUTTHEAD #663,Beer,,Sissy Dark Blonde,Full Grey,Desert Jacket,Light,Gradient,Las Vegas,,,
664,BUTTHEAD #664,,Earring,Afro Pink,Full Blonde,Puffer Jacket,Brown with tattoos,Green,,,,
665,BUTTHEAD #665,,Headphones,Jude,Gentlemen Mustache Blonde,Gentlemen,Dark Brown,Gradient,,,,
666,BUTTHEAD #666,Beanie Black,,Jude,Mustache Brown,Space Suit,Light,Pastel Green,,,,
667,BUTTHEAD #667,Police,,Nick Bowl Brown,,Fleece Jacket,Light,Green,,,,
668,BUTTHEAD #668,FEZ,Earring,Undercut Pink,Scruff Black,Dungarees ,Brown,Pastel Green,Insect,,,
669,BUTTHEAD #669,Beer,,Mullet Brown,,Party Tank Top,Light with tattoos,Pastel Green,,,,
670,BUTTHEAD #670,Visor Red,,Nick Bowl Colorful,,T-Shirt Lilac,Light,Sand,,,,
671,BUTTHEAD #671,,Triple Earring,Very Short,,Bullseye Shirt,Brown with tattoos,Cyan,Joke,,,
672,BUTTHEAD #672,Crown,,Bowl Colorful,Gentlemen Mustache Brown,Fleece Jacket,White,Sand,Insect,,,
673,BUTTHEAD #673,,,,,Pimp Coat Tiger,White,Gradient,X-Ray,,,
674,BUTTHEAD #674,Flower Crown,,Mullet Brown,,Denim Jacket Sheep,Brown,Green,Hippie,,Blush,
675,BUTTHEAD #675,Flat Cap Clown,,Emo Black,,T-Shirt French Blue,White,Magenta,Pineapple,Bubble Gum,,
676,BUTTHEAD #676,Bucket Hat Orange,Earring,Classic Side Part,,Jeans Jacket,Light,Cyan,Pineapple,Cigar,,
677,BUTTHEAD #677,,,Average Brown,,Pimp Coat Tiger,White with tattoos,Pastel Green,,,,
678,BUTTHEAD #678,Beanie Red,Headphones,Surfer Curly,Full Grey,T-Shirt Inkwell,Brown,Sand,,,,
679,BUTTHEAD #679,Cowboy Hat Black,,Average Brown,Full Grey,Leather Jacket,White,Grey,Lolita,,,
680,BUTTHEAD #680,Sailor,,Half Bald,Mustache Brown,T-Shirt Marigold,Brown,Beige,,Toothpick,,
681,BUTTHEAD #681,Hat Beige,,Average Blonde,Three-Day Black,T-Shirt with Suspenders,Dark Brown,Green,Spring,,,
682,BUTTHEAD #682,,,Punk Red,Gentlemen Mustache Blonde,Fan Shirt,Dark Brown,Grey,Las Vegas,,,
683,BUTTHEAD #683,,Earring,Nick Bowl Brown,,Gigolo Outfit,Light,Pastel Green,,Corn Straw,,
684,BUTTHEAD #684,Hermes,,Sissy Brown,,Marty,Brown,Gradient,,,,
685,BUTTHEAD #685,Flat Cap Clown,Feather,Jude,,Flamingo,Brown,Beige,3D,,,
686,BUTTHEAD #686,,,Mob-Top,Gentlemen Mustache Pink,Jeans Jacket,Porcelain,Beige,,,,
687,BUTTHEAD #687,,,Short,,Shirt and Sweater,Brown,Sand,,,,
688,BUTTHEAD #688,McButtheads,,Long Brown,,Sleeveless Sweater,Brown,Sand,,,,
689,BUTTHEAD #689,Chatham Fedora,Safety Pin,Suave ,Gentlemen Mustache Blonde,Tracksuit,Brown,Beige,Pineapple,Toothpick,,
690,BUTTHEAD #690,Cowboy Hat Black,Safety Pin,Fringe,Full Grey,Hoodie,White,Pastel Green,Black Sunglasses ,,,
691,BUTTHEAD #691,Prison,,Sissy Brown,,Striped Red T-Shirt,Light,Cyan,,,,
692,BUTTHEAD #692,,Earring,Classic Side Part,,Dressing Gown,Brown with tattoos,Magenta,Laser,,,
693,BUTTHEAD #693,,Feather,Slicked Back,,Shirt and Sweater,Light,Cyan,Bike,,,
694,BUTTHEAD #694,Snapback Mesh,,Curly Brown,Full Brown,Polo Shirt,Brown,Beige,Speed,,,
695,BUTTHEAD #695,Visor Green,,Short,,Lumberjack,White,Green,,Bubble Gum,,
696,BUTTHEAD #696,Hat Black,,Short,Mustache Brown,Lumberjack,Dark Brown,Peach,,,,
697,BUTTHEAD #697,Chatham Fedora,,Long Blonde,Three-Day Brown,Bomber Jacket,White,Pastel Green,,Cigar,,
698,BUTTHEAD #698,Bandana Black,,Jude,Full Brown,T-Shirt Marigold,Light with tattoos,Pastel Green,Burglar,Toothpick,,
699,BUTTHEAD #699,Snapback Mesh,,20s,Three-Day Black,Dressing Gown,Light,Beige,Burglar,,,
700,BUTTHEAD #700,Party,,Dreads Brown,,Dude,Brown,Beige,Black Sunglasses ,Cigarette,,
701,BUTTHEAD #701,Mesh Cap Buttheads,,Undercut Pink,,Gym Tank Top,Brown,Beige,Bike,,,
702,BUTTHEAD #702,FEZ,,Bowl Colorful,Three-Day Black,Space Suit,Brown with tattoos,Peach,,,,
703,BUTTHEAD #703,,,Fringe,,Space Shirt,Light,Peach,,,,
704,BUTTHEAD #704,,Headphones,Classic Side Part,Full Brown,Striped Blue T-Shirt,Brown,Green,,,,
705,BUTTHEAD #705,Cowboy Hat Black,,Mob-Top,,Bomber Jacket,Dark Brown,Magenta,Star,,,
706,BUTTHEAD #706,Prison,,Bowl Brown,,Tank Top,White,Gradient,Steam Punk,,,
707,BUTTHEAD #707,,Triple Earring,Average Brown,Mustache Pink,American Football,Brown,Green,,,,
708,BUTTHEAD #708,,,Long Blonde,Gentlemen Mustache Blonde,Striped Red T-Shirt,Dark Brown,Pastel Green,,,,
709,BUTTHEAD #709,,Headphones,Afro,Scruff Brown,Gigolo Outfit,Brown,Grey,Burglar,,,
710,BUTTHEAD #710,Cowboy Hat Brown,,Fringe,Gentlemen Mustache Blonde,Lumberjack,White with tattoos,Gradient,,Pipe,,
711,BUTTHEAD #711,,,Afro,,Tank Top,White,Magenta,Monocle,Toothpick,,
712,BUTTHEAD #712,Snapback Mesh,,Short,Gentlemen Mustache Brown,Polo Shirt,Dark Brown,Pastel Green,Steam Punk,Cigar,,
713,BUTTHEAD #713,,,Suave ,Three-Day Brown,Shirt and Sweater,White,Sand,Steam Punk,Rainbow,,
714,BUTTHEAD #714,,Headphones,Emo Dark Blonde,,Dude,White with tattoos,Cyan,Burglar,,,
715,BUTTHEAD #715,Ranger Hat,,Jude,,Bomber Jacket,White,Green,,,,
716,BUTTHEAD #716,Commie Hat,,Nick Bowl Colorful,,Gentlemen,White,Beige,,Bubble Gum,,
717,BUTTHEAD #717,,,Short,,Desert Jacket,Dark Brown,Sand,,,,
718,BUTTHEAD #718,,Safety Pin,Afro Pink,Three-Day Blonde,Leather Jacket,Dark Brown,Cyan,,,,
719,BUTTHEAD #719,Prison,,Emo Black,Scruff Brown,Striped Blue T-Shirt,Brown,Gradient,Sweets,,,
720,BUTTHEAD #720,,Headphones,Bowl Colorful,Scruff Brown,T-Shirt with Suspenders,Porcelain,Gradient,,Toothpick,,
721,BUTTHEAD #721,,,Afro,Mustache Blonde,Pimp Coat Tiger,Gold,Peach,Laser,,,
722,BUTTHEAD #722,Beret,,Shoulder Long Orange,,Tracksuit,Light,Peach,Pineapple,,,
723,BUTTHEAD #723,Visor Red,,Undercut Blonde,,Ripped Shirt,Light,Magenta,,,,
724,BUTTHEAD #724,,,Very Short,,Turtleneck Sweater,Light with tattoos,Pastel Green,,Cigarette,,
725,BUTTHEAD #725,,,Brain,,Turtleneck Sweater,Light,Grey,Joke,,,
726,BUTTHEAD #726,,Safety Pin,Long Brown,Three-Day Blonde,Gigolo Outfit,White,Beige,,,,
727,BUTTHEAD #727,Visor Green,,Suave ,,College Sweater,Dark Brown,Green,Googly Eyes,,Blush,
728,BUTTHEAD #728,Hermes,Safety Pin,Nick Bowl Colorful,,T-Shirt with Suspenders,White with tattoos,Beige,Burglar,,,
729,BUTTHEAD #729,Prison,Safety Pin,Pompadour Blue,,Ice Hockey,Brown,Cyan,Joke,,,
730,BUTTHEAD #730,,,Undercut Blue,,Space Shirt,Dark Brown,Green,Hippie,,,
731,BUTTHEAD #731,Pizza,,Mob-Top,,Shirt Dark,Brown with tattoos,Pastel Green,,,,
732,BUTTHEAD #732,FEZ,,Bowl Brown,Full Blonde,Party Tank Top,White with tattoos,Gradient,,,,
733,BUTTHEAD #733,FEZ,,Bowl Colorful,,Hoodie,Dark Brown,Cyan,,,,
734,BUTTHEAD #734,,,Nick Bowl Brown,Scruff Black,Puffer Jacket,Dark Brown,Beige,Hippie,,,
735,BUTTHEAD #735,,,Sissy Brown,,Polo Shirt,Brown,Beige,Steam Punk,,,
736,BUTTHEAD #736,Paper Crown,,Very Short,Gentlemen Mustache Brown,Dressing Gown,Dark Brown with tattoos,Cyan,Broken,,,
737,BUTTHEAD #737,,,Average Brown,,Striped Red T-Shirt,White,Cyan,Lolita,,,
738,BUTTHEAD #738,,,Punk Red,,Striped Red T-Shirt,White,Beige,,,,
739,BUTTHEAD #739,Top Hat,Triple Earring,Short,Mustache Brown,Prison Shirt,Dark Brown,Grey,Monocle,,,
740,BUTTHEAD #740,Chatham Fedora,,Nick Bowl Colorful,Three-Day Blonde,Pimp Coat Tiger,White,Grey,,,,
741,BUTTHEAD #741,Beanie Red,,Mullet Blonde,Scruff Blonde,Desert Jacket,Dark Brown,Peach,Googly Eyes,,,
742,BUTTHEAD #742,Bucket Hat Orange,Earring,Mullet Brown,,Pimp Coat Multicolor Purple,Brown,Beige,Ski,Rainbow,,Smiley
743,BUTTHEAD #743,Cowboy Hat Black,,Dreads Brown,,Fan Shirt,White,Gradient,,,,
744,BUTTHEAD #744,,,Punk Red,,Leather Jacket,Light,Sand,,Bubble Gum,,
745,BUTTHEAD #745,,Triple Earring,Emo Black,Three-Day Brown,T-Shirt with Suspenders,Light,Sand,,,,
746,BUTTHEAD #746,Top Hat,,Average Brown,Scruff Blonde,Dude,White,Cyan,Steam Punk,,,
747,BUTTHEAD #747,Flower Crown,,Pompadour Blue,Mustache Brown,Beige Shirt,White,Green,Las Vegas,,,
748,BUTTHEAD #748,Hermes,,Half Bald,Gentlemen Mustache Pink,Hawaii Shirt Red,White,Gradient,,,,
749,BUTTHEAD #749,,Feather,Curly Brown,,Jeans Jacket,Light,Pastel Green,,,,
750,BUTTHEAD #750,,,Short,,Flamingo,Light,Pastel Green,,Straw,,
751,BUTTHEAD #751,,,Afro Pink,Three-Day Black,Beige Shirt,Infrared,Green,X-Ray,,,
752,BUTTHEAD #752,Top Hat,,Nick Bowl Colorful,,Party Tank Top,White with tattoos,Pastel Green,,,,
753,BUTTHEAD #753,Mesh Cap Fish,Safety Pin,Nick Bowl Brown,,Shirt and Sweater,Brown,Beige,Black Sunglasses ,,,
754,BUTTHEAD #754,,,Undercut Blonde,Full Brown,Tank Top,White with tattoos,Pastel Green,,,,
755,BUTTHEAD #755,Pizza,,Sissy Dark Blonde,,Denim Jacket Sheep,Brown,Cyan,Matrix,Straw,,
756,BUTTHEAD #756,Sailor,,Slicked Back,Gentlemen Mustache Brown,Prison Shirt,Light,Cyan,Steam Punk,,,
757,BUTTHEAD #757,,,Sissy Dark Blonde,Mustache Pink,Leather Jacket,Dark Brown,Green,,,,
758,BUTTHEAD #758,,Earring,Long Brown,,Gentlemen,Light with tattoos,Cyan,,,,
759,BUTTHEAD #759,Flat Cap Black,,Shoulder Long Colorful,Gentlemen Mustache Blonde,T-Shirt Lilac,White,Green,Spring,,,
760,BUTTHEAD #760,,Diamond,Pompadour Blonde,,Space Shirt,Light with tattoos,Pastel Green,Sweets,Bubble Gum,,
761,BUTTHEAD #761,,,Average Brown,Full Grey,Ice Hockey,Brown,Cyan,Monocle,,Scar,
762,BUTTHEAD #762,Hat Beige,,Half Bald,,Gym Tank Top,Light with tattoos,Peach,,,,
763,BUTTHEAD #763,,,Sissy Brown,Full Grey,Fcuk Tank Top,Brown with tattoos,Gradient,Sweets,Straw,,
764,BUTTHEAD #764,Safety Helmet,,Long Brown,,Jeans Jacket,Brown,Grey,,Toothpick,,
765,BUTTHEAD #765,Cowboy Hat Brown,,Dreads Brown,Mustache Blonde,Hawaii Shirt Green,Gold,Magenta,,,,
766,BUTTHEAD #766,Hermes,Earring,Short,Gentlemen Mustache Blonde,Gym Tank Top,White,Magenta,Speed,,,
767,BUTTHEAD #767,,Triple Earring,Brain,Gentlemen Mustache Pink,Clown,White,Peach,Insect,,,
768,BUTTHEAD #768,Visor Green,,Slicked Back,,Bathrobe,Brown with tattoos,Sand,Leon,,,
769,BUTTHEAD #769,,,Punk Green,Three-Day Brown,Tank Top,Brown with tattoos,Peach,,Pipe,,
770,BUTTHEAD #770,Charlie Chaplin,,Shoulder Long Colorful,,Pimp Coat Multicolor Pink,Light with tattoos,Sand,Lolita,Corn Straw,,
771,BUTTHEAD #771,,Feather,Punk Red,Scruff Black,Clown,Light,Pastel Green,Leon,,,
772,BUTTHEAD #772,FVCK Cap,,Fringe,,Fan Shirt,Brown,Magenta,Black Sunglasses ,,,
773,BUTTHEAD #773,,,Punk Green,,Hawaii Shirt Red,White,Pastel Green,,,,
774,BUTTHEAD #774,Beanie Green,Safety Pin,Slicked Back,,Hawaii Shirt Red,Light,Peach,,,,
775,BUTTHEAD #775,Snapback Mesh,,Nick Bowl Colorful,Three-Day Brown,Striped Red T-Shirt,Light with tattoos,Cyan,,,,
776,BUTTHEAD #776,Chatham Fedora,,Very Short,Mustache Blonde,Joker,Dark Brown,Magenta,,,,
777,BUTTHEAD #777,Headband Sport,,Fringe,Mustache Pink,Dressing Gown,Light,Beige,Googly Eyes,Cigarette,,
778,BUTTHEAD #778,Halo,,Emo Dark Blonde,Mustache Brown,Biker Vest,White,Magenta,Hippie,,,
779,BUTTHEAD #779,,,Emo Dark Blonde,Scruff Brown,Suit,White,Magenta,Las Vegas,,,
780,BUTTHEAD #780,Flat Cap Clown,,Emo Dark Blonde,,Ice Hockey,Light,Beige,Kiss,,,
781,BUTTHEAD #781,,Headphones,Bowl Brown,,Hawaii Shirt Red,Light,Cyan,Spring,Cigarette,,
782,BUTTHEAD #782,Visor Red,,Shoulder Long Colorful,Gentlemen Mustache Blonde,Band Shirt,Brown,Peach,,,,
783,BUTTHEAD #783,Bucket Hat Orange,,20s,Mustache Pink,Space Shirt,Brown,Peach,,,,
784,BUTTHEAD #784,,,Mullet Blonde,,T-Shirt with Suspenders,Light,Grey,Lolita,,,
785,BUTTHEAD #785,Sailor,,,Gentlemen Mustache Brown,Denim Jacket Sheep,White,Cyan,,,,
786,BUTTHEAD #786,Cowboy Hat Black,Headphones,Nick Bowl Colorful,Scruff Blonde,Worn Out,Light,Gradient,Googly Eyes,,,
787,BUTTHEAD #787,Hat Beige,,Surfer Curly,,Ripped Shirt,Brown,Peach,,Cigarette,,
788,BUTTHEAD #788,Safety Helmet,,Dreads Brown,,Gym Tank Top,Brown,Sand,,,,
789,BUTTHEAD #789,,Earring,Short,,Worn Out,Brown,Gradient,Burglar,,,
790,BUTTHEAD #790,,Earring,Undercut Blue,Full Grey,Shirt and Sweater,White,Beige,,Cigarette,,
791,BUTTHEAD #791,Beanie Black,Safety Pin,Curly Brown,Full Brown,Pimp Coat Tiger,Light,Peach,,,,
792,BUTTHEAD #792,,Diamond,Slicked Back,Full Brown,Jeans Jacket,White with tattoos,Pastel Green,Monocle,Corn Straw,,
793,BUTTHEAD #793,Crown,,Short,,Hawaii Shirt Red,Light,Cyan,Googly Eyes,Toothpick,,
794,BUTTHEAD #794,,Feather,Nick Bowl Brown,Mustache Blonde,Puffer Jacket,Brown,Gradient,Spring,,,
795,BUTTHEAD #795,Devil Horns,,Long Blonde,,Clown,White with tattoos,Beige,,Corn Straw,,
796,BUTTHEAD #796,Charlie Chaplin,,Undercut Blue,,Jeans Jacket,White,Grey,,Straw,,
797,BUTTHEAD #797,Hat Beige,Triple Earring,Pompadour Blonde,,T-Shirt French Blue,White,Cyan,Bike,Cigar,,
798,BUTTHEAD #798,Cowboy Hat Black,Feather,20s,,Denim Jacket Sheep,Light,Cyan,Spring,,,
799,BUTTHEAD #799,,,Mullet Brown,,Evel Knievel,Brown with tattoos,Magenta,Black Sunglasses ,Bubble Gum,,
800,BUTTHEAD #800,Hat Beige,,Shoulder Long Colorful,,Bomber Jacket,Dark Brown,Green,,Toothpick,,
801,BUTTHEAD #801,Snapback Red,,Curly Brown,,Striped Blue T-Shirt,White with tattoos,Cyan,Broken,,,
802,BUTTHEAD #802,Flower Crown,,Suave ,Gentlemen Mustache Brown,Band Shirt,White,Cyan,,,,
803,BUTTHEAD #803,,Diamond,Undercut Blonde,Mustache Pink,Suit,Light,Cyan,,Toothpick,,
804,BUTTHEAD #804,Beanie Red,,Short,Full Blonde,T-Shirt Lilac,Brown with tattoos,Gradient,Steam Punk,Straw,,
805,BUTTHEAD #805,Cowboy Hat Brown,,Slicked Back,,Denim Jacket Sheep,White with tattoos,Peach,,,,
806,BUTTHEAD #806,Cowboy Hat Black,,Surfer Curly,Scruff Blonde,Marty,White with tattoos,Green,,,,
807,BUTTHEAD #807,Snapback Mesh,,Long Blonde,,Flamingo,Brown,Grey,,,,
808,BUTTHEAD #808,,,Curly Blonde,Gentlemen Mustache Blonde,Sleeveless Sweater,Dark Brown,Grey,Insect,Cigar,,
809,BUTTHEAD #809,,,Afro,Mustache Blonde,Marty,Light with tattoos,Peach,Hippie,Corn Straw,,
810,BUTTHEAD #810,,Headphones,Half Bald,,Space Suit,White,Grey,Las Vegas,,,
811,BUTTHEAD #811,Top Hat,,Very Short,Scruff Brown,Band Shirt,Brown with tattoos,Beige,Pineapple,,,
812,BUTTHEAD #812,,Earring,Mullet Blonde,,Ice Hockey,Light,Cyan,Black Sunglasses ,Toothpick,,
813,BUTTHEAD #813,,Triple Earring,Punk Green,Gentlemen Mustache Blonde,American Football,Dark Brown,Beige,Insect,,,
814,BUTTHEAD #814,,Diamond,,,Puffer Jacket,Dark Brown,Pastel Green,,Corn Straw,,
815,BUTTHEAD #815,,,Half Bald,,Gigolo Outfit,Brown,Peach,Black Sunglasses ,Bubble Gum,,
816,BUTTHEAD #816,,Feather,Mob-Top,,Turtleneck Sweater,Light with tattoos,Gradient,Burglar,,,
817,BUTTHEAD #817,Bear,,Shoulder Long Orange,,Fcuk Tank Top,White,Grey,Joke,,,
818,BUTTHEAD #818,Police,,,Scruff Blonde,Ripped Shirt,Light with tattoos,Magenta,,,,
819,BUTTHEAD #819,,,Fringe,Full Grey,Ripped Shirt,White,Peach,,,,
820,BUTTHEAD #820,,,Clown,,Gym Tank Top,Dark Brown with tattoos,Beige,,,,
821,BUTTHEAD #821,FEZ,,Mullet Brown,Mustache Brown,Gym Tank Top,Dark Brown,Grey,,,,
822,BUTTHEAD #822,Mesh Cap Fish,,Shoulder Long Colorful,,Striped Red T-Shirt,Brown,Peach,Joke,,,
823,BUTTHEAD #823,Bandana Black,Headphones,Short,,Space Suit,White,Peach,,,,
824,BUTTHEAD #824,,,Shoulder Long Orange,Gentlemen Mustache Blonde,Party Tank Top,Dark Brown,Cyan,,Cigarette,Scar,
825,BUTTHEAD #825,Beanie Green,,,Full Brown,Clown,Brown,Peach,Googly Eyes,,,
826,BUTTHEAD #826,,,Mob-Top,Scruff Blonde,T-Shirt Lilac,Light,Green,Black Sunglasses ,,,
827,BUTTHEAD #827,Safety Helmet,,Average Brown,Scruff Brown,Party Tank Top,Porcelain,Beige,,,,
828,BUTTHEAD #828,,Triple Earring,Crop,Gentlemen Mustache Brown,Biker Vest,Dark Brown,Sand,Speed,,,
829,BUTTHEAD #829,,Earring,Punk Green,Full Brown,College Sweater,Brown,Pastel Green,Black Sunglasses ,,,
830,BUTTHEAD #830,,,Mob-Top,,Denim Jacket Sheep,Light,Beige,,,,
831,BUTTHEAD #831,,,Mullet Brown,,Space Shirt,White,Grey,Googly Eyes,Cigar,,
832,BUTTHEAD #832,Hat Beige,,Dreads Colorful,Three-Day Black,Caveman,Dark Brown,Peach,Kiss,,,
833,BUTTHEAD #833,,,Bowl Brown,,Shirt and Sweater,Dark Brown,Cyan,Hippie,,,
834,BUTTHEAD #834,,,Bowl Brown,,Jeans Jacket,Brown,Cyan,Kiss,,,
835,BUTTHEAD #835,,,Afro Pink,,American Football,White,Gradient,Monocle,,,
836,BUTTHEAD #836,Headband Sport,,Pompadour Blonde,Scruff Blonde,Tracksuit,Dark Brown,Green,Black Sunglasses ,Straw,,
837,BUTTHEAD #837,,Earring,Undercut Blue,,Lumberjack,Light,Beige,Kiss,,,
838,BUTTHEAD #838,Prison,Triple Earring,Fringe,Gentlemen Mustache Blonde,Denim Jacket Sheep,Porcelain,Green,Matrix,,,
839,BUTTHEAD #839,Mesh Cap Buttheads,Diamond,Pompadour Blonde,Scruff Brown,Party Tank Top,Brown,Peach,Joke,,,
840,BUTTHEAD #840,,,Nick Bowl Colorful,,Dude,White with tattoos,Cyan,Sweets,,,
841,BUTTHEAD #841,,,Afro Pink,Three-Day Blonde,Biker Vest,Brown,Magenta,Pineapple,,,
842,BUTTHEAD #842,Commie Hat,,Dreads Colorful,,Western Cowboy Jacket,White,Green,3D,,,
843,BUTTHEAD #843,,,Shoulder Long Colorful,Three-Day Black,Fan Shirt,Brown,Magenta,Las Vegas,Toothpick,,
844,BUTTHEAD #844,Top Hat,,Mullet Brown,,Shirt Dark,Light,Beige,Broken,,,
845,BUTTHEAD #845,,,Nick Bowl Brown,,Tracksuit,White,Cyan,,,,
846,BUTTHEAD #846,Flat Cap Black,Triple Earring,Long Brown,Mustache Blonde,Biker Vest,Dark Brown with tattoos,Peach,,Toothpick,,
847,BUTTHEAD #847,Cowboy Hat Black,,Average Blonde,,Leather Jacket,White,Cyan,Buttons,,,
848,BUTTHEAD #848,,Triple Earring,Nick Bowl Brown,,T-Shirt French Blue,Light,Gradient,,,,
849,BUTTHEAD #849,Flower Crown,,Sissy Brown,Mustache Pink,Dressing Gown,Dark Brown,Gradient,Lolita,Cigar,,
850,BUTTHEAD #850,,,Punk Green,Gentlemen Mustache Blonde,Fleece Jacket,Brown,Sand,X-Ray,,,
851,BUTTHEAD #851,Charlie Chaplin,,Nick Bowl Colorful,Three-Day Brown,Band Shirt,Dark Brown,Green,Broken,,,
852,BUTTHEAD #852,Ranger Hat,,Shoulder Long Colorful,Mustache Blonde,Fan Shirt,Brown,Grey,,,,
853,BUTTHEAD #853,Chatham Fedora,,Suave ,Scruff Brown,T-Shirt with Suspenders,Dark Brown with tattoos,Peach,Spring,Cigar,,
854,BUTTHEAD #854,Prison,,Mullet Brown,,Worn Out,Dark Brown,Beige,Buttons,,,
855,BUTTHEAD #855,,,20s,Three-Day Black,Flamingo,Light,Green,,,,
856,BUTTHEAD #856,,,,Three-Day Blonde,Band Shirt,White with tattoos,Pastel Green,Ski,Cigar,,
857,BUTTHEAD #857,Beanie Black,Headphones,20s,Three-Day Blonde,Tracksuit,Dark Brown with tattoos,Gradient,,Corn Straw,,
858,BUTTHEAD #858,Charlie Chaplin,,Curly Blonde,,Worn Out,Brown with tattoos,Green,Matrix,,,
859,BUTTHEAD #859,Flat Cap Black,,Undercut Pink,,Gentlemen,Brown with tattoos,Beige,Monocle,,,
860,BUTTHEAD #860,FVCK Cap,,Emo Dark Blonde,,Puffer Jacket,Brown,Beige,,,,
861,BUTTHEAD #861,Beanie Black,,Sissy Brown,Mustache Brown,Caveman,Brown with tattoos,Gradient,Black Sunglasses ,Rainbow,,
862,BUTTHEAD #862,,,Dreads Colorful,,Desert Jacket,White,Green,Buttons,,,
863,BUTTHEAD #863,Visor Green,,Curly Brown,Three-Day Blonde,Fleece Jacket,Dark Brown,Magenta,,,,
864,BUTTHEAD #864,FEZ,,Curly Blonde,Three-Day Black,Fan Shirt,Dark Brown with tattoos,Magenta,Speed,,,
865,BUTTHEAD #865,,,Punk Red,,Turtleneck Sweater,Light,Pastel Green,Leon,,,
866,BUTTHEAD #866,,,Slicked Back,,Striped Red T-Shirt,Brown,Sand,Broken,,,
867,BUTTHEAD #867,Visor Green,,Mullet Blonde,Three-Day Blonde,Gym Tank Top,Dark Brown,Magenta,Sweets,,,
868,BUTTHEAD #868,Bandana Pirate,Earring,Shoulder Long Orange,Full Blonde,Striped Blue T-Shirt,White,Pastel Green,,,,
869,BUTTHEAD #869,FVCK Cap,Triple Earring,Curly Blonde,,Bullseye Shirt,Brown,Grey,Leon,Straw,,
870,BUTTHEAD #870,,,Mob-Top,,Tank Top,Light,Sand,Pineapple,,,
871,BUTTHEAD #871,,Triple Earring,Long Blonde,,T-Shirt Marigold,Light with tattoos,Green,,,,
