TOKEN_ID,TOKEN_NAME,Hat,Ear,Hair,Beard,Clothes,Skin,Background,Eyes,Mouth,Cheek,Face
8151,BUTTHEAD #8151,Prison,,,Full Grey,Sleeveless Sweater,Gold,Beige,Las Vegas,,,
8152,BUTTHEAD #8152,Pizza,,Mullet Blonde,Three-Day Blonde,Bomber Jacket,Dark Brown,Grey,,,,
8153,BUTTHEAD #8153,,Headphones,Very Short,Scruff Blonde,Ice Hockey,Brown,Grey,Sweets,,,
8154,BUTTHEAD #8154,Top Hat,,Average Brown,Gentlemen Mustache Brown,T-Shirt with Suspenders,Light,Pastel Green,,,,
8155,BUTTHEAD #8155,,,Afro,Mustache Pink,Gentlemen,White,Beige,Lolita,Bubble Gum,,
8156,BUTTHEAD #8156,Beanie Black,Earring,Slicked Back,Mustache Brown,Bullseye Shirt,Porcelain,Cyan,,Toothpick,,
8157,BUTTHEAD #8157,Cowboy Hat Black,,Sissy Dark Blonde,,Polo Shirt,White,Beige,Lolita,,,
8158,BUTTHEAD #8158,Mesh Cap Buttheads,,Emo Dark Blonde,,Biker Vest,Dark Brown,Pastel Green,Speed,Bubble Gum,,
8159,BUTTHEAD #8159,Commie Hat,,Short,Three-Day Blonde,Gigolo Outfit,Dark Brown with tattoos,Sand,Googly Eyes,Pipe,,
8160,BUTTHEAD #8160,FVCK Cap,Safety Pin,Pompadour Blue,,Joker,Light with tattoos,Green,,Pipe,,
8161,BUTTHEAD #8161,Hermes,,Curly Blonde,,Fcuk Tank Top,Light with tattoos,Cyan,Leon,Cigarette,,
8162,BUTTHEAD #8162,Flat Cap Black,,Dreads Colorful,Mustache Brown,T-Shirt Inkwell,Dark Brown,Green,,,,
8163,BUTTHEAD #8163,Hat Beige,,Average Brown,,Shirt and Sweater,Dark Brown with tattoos,Green,,,,
8164,BUTTHEAD #8164,Commie Hat,Feather,Undercut Blue,,Leather Jacket,Dark Brown,Cyan,,Bubble Gum,,
8165,BUTTHEAD #8165,Headband Sport,,Pompadour Blonde,,Leather Jacket,White,Sand,Burglar,,,
8166,BUTTHEAD #8166,Flat Cap Black,,Classic Side Part,,Fleece Jacket,Light,Sand,,Cigar,,
8167,BUTTHEAD #8167,,Feather,Emo Dark Blonde,Scruff Blonde,Ripped Shirt,Dark Brown with tattoos,Gradient,Googly Eyes,,,
8168,BUTTHEAD #8168,,,Undercut Blue,Full Grey,Tracksuit,Light,Sand,Las Vegas,,,
8169,BUTTHEAD #8169,,Earring,Slicked Back,Mustache Brown,Band Shirt,White,Sand,,,,
8170,BUTTHEAD #8170,,,Brain,,Dressing Gown,White with tattoos,Grey,Speed,Bubble Gum,,
8171,BUTTHEAD #8171,Devil Horns,,Long Blonde,,Gym Tank Top,Brown,Beige,,,,
8172,BUTTHEAD #8172,,,Classic Side Part,,Sleeveless Sweater,Brown,Magenta,,,,
8173,BUTTHEAD #8173,Commie Hat,,Shoulder Long Colorful,,T-Shirt French Blue,Dark Brown,Beige,Black Sunglasses ,,,
8174,BUTTHEAD #8174,Flower Crown,,Dreads Brown,,Beige Shirt,White with tattoos,Sand,Spring,,Scar,
8175,BUTTHEAD #8175,Chatham Fedora,,Long Brown,Scruff Brown,Denim Jacket Sheep,Light,Sand,,,,
8176,BUTTHEAD #8176,Visor Green,,Dreads Brown,,Beige Shirt,Dark Brown,Cyan,,,,
8177,BUTTHEAD #8177,,,Punk Red,,Denim Jacket Sheep,White,Sand,Star,,,
8178,BUTTHEAD #8178,,,Dreads Colorful,,Marty,Brown,Green,3D,Cigarette,,
8179,BUTTHEAD #8179,Snapback Red,Safety Pin,20s,,Dungarees ,White,Cyan,,,,
8180,BUTTHEAD #8180,,Safety Pin,Punk Red,Scruff Brown,Gentlemen,Light,Beige,Broken,Pipe,,
8181,BUTTHEAD #8181,Mesh Cap Fish,Diamond,Emo Dark Blonde,Full Grey,Hoodie,Light,Peach,,,,
8182,BUTTHEAD #8182,Cowboy Hat Brown,,Bowl Colorful,,Denim Jacket Sheep,Dark Brown,Pastel Green,,,,
8183,BUTTHEAD #8183,Hermes,Feather,Short,,Clown,White with tattoos,Magenta,X-Ray,,,
8184,BUTTHEAD #8184,,Triple Earring,Shoulder Long Orange,,Dude,Infrared,Beige,Leon,,,
8185,BUTTHEAD #8185,,,Dreads Colorful,,Turtleneck Sweater,Brown with tattoos,Green,,,,
8186,BUTTHEAD #8186,FEZ,,Fringe,,Gigolo Outfit,White,Beige,Joke,,,
8187,BUTTHEAD #8187,Prison,Earring,Long Brown,Full Grey,Fan Shirt,Brown,Green,,Cigar,,
8188,BUTTHEAD #8188,Sailor,,Average Blonde,Scruff Blonde,Lumberjack,Brown with tattoos,Pastel Green,Speed,,,
8189,BUTTHEAD #8189,,,Jude,,Marty,Light,Cyan,,,,
8190,BUTTHEAD #8190,,,Mullet Blonde,,Party Tank Top,White,Peach,Buttons,Rainbow,,
8191,BUTTHEAD #8191,Hermes,,Bowl Colorful,,Ice Hockey,Brown,Green,Hippie,Bubble Gum,,
8192,BUTTHEAD #8192,Safety Helmet,,Nick Bowl Colorful,,Puffer Jacket,Brown,Grey,Lolita,,,
8193,BUTTHEAD #8193,,,Undercut Blue,,Desert Jacket,White,Gradient,Buttons,,,
8194,BUTTHEAD #8194,Bucket Hat Army,,,,Polo Shirt,Light,Beige,,Bubble Gum,,
