,TOKEN_ID,USER,SELLER,DATE,RANK,PRICE
19,2522,0x6a0ddcea568ffbe49a58a01c834a905a661c2ed7,0x843aa48f59c4dcdf01df9fd79bb0e74d037aaeb6,2021-10-24T21:12:50.961897,8133,1.45
20,8494,0x6aa2d909a54219219c196d63434aba22a444b08b,0xe61ed4d6722396334ab7589760f0bff5656142eb,2021-10-24T20:54:08.155918,8232,1.49
21,5100,0x4816fde32c01e1aa7fd3728abb2feab5d21d1a1e,0x245520ea1ee2558e2c0b5de718eeeaf7878da3d2,2021-10-24T20:48:47.779712,709,3.5
22,3995,0xb5ce30c1d55c918ab57b1f63d05885326b121057,0xb5ce30c1d55c918ab57b1f63d05885326b121057,2021-10-24T19:52:22.913124,113,9.0
23,475,0x38e7ce904f20e84bc1f7a8e9bb9005d384697329,0x0f96b6f2790a4070926f6cb1b44b842a0d8e9965,2021-10-24T19:31:59.844034,5880,1.5
24,6879,0x858d0ac8e44060de2f6ee24180343aa24e42f922,0x4816fde32c01e1aa7fd3728abb2feab5d21d1a1e,2021-10-24T19:30:58.560496,6696,1.55
25,5393,0x9612460dc35a7261c6fdb193a722cfb2da2e5b3c,0xc265e9cd9082967a857da66018e09b8a64536bbe,2021-10-24T16:27:43.627781,5567,1.56
26,3438,0xb79dcd193ad62a3f18b35fee7c635747ce6e19b9,0x81195739bab9e19258b7b6d735d94107df4af0fa,2021-10-24T15:20:41.227381,7906,1.52
27,1871,0xce77458f4c8b4bc320f1b2e9b731c2072cf66689,0xa132d756adea049f868debaaef2675f3805e904f,2021-10-24T14:42:45.531225,8028,1.39
28,7413,0x2c3ac1a1ac9cce7c027f9e87c1753c736468e07e,0x99a3b922ad6ada6695ff72d3ff24da7541255ef5,2021-10-24T14:42:22.321449,4657,1.55
29,2371,0xa548d95378ec16e000563d89684c64869f72bc0d,0xa548d95378ec16e000563d89684c64869f72bc0d,2021-10-24T14:42:22.945014,4165,1.75
30,2095,0x2a3b4ff0d2d130fa0a7122117f28b67c1805d66b,0x9c44495ced9f08a0741dfa3751e949e838de95ff,2021-10-24T14:39:18.733483,7914,1.6
31,2270,0xcf22b27adb98f0bc22f0c8954e37ad8c85dde1c0,0x597a39e3844481403ab1e509e2447fd8975bc4f9,2021-10-24T14:18:55.706092,2686,2.249
32,1142,0x8b3383ffb325e3169c26b0d9cd6d0ae8c48f6331,0x11fa2d1e340b8c108d3cf8f50f98d154b68879a1,2021-10-24T13:53:19.236860,7361,1.4963
33,7268,0xe900669436005e7c2f0467483a093d756ce58384,0xe900669436005e7c2f0467483a093d756ce58384,2021-10-24T13:50:20.573168,7367,1.4
34,2552,0x55099339b9ccb397e7e4ac515cc5d19047ea882b,0x656866dbc9d251d002c1e6e2a9623849323b13af,2021-10-24T12:51:32.938483,8158,1.4963
35,6086,0xd3d92fb0e3964074739202392d9ca18400c32e86,0xc3daf08abf0ba02d7a5777f8524e2bb7e0b4d843,2021-10-24T12:20:10.367669,6486,1.55
36,6605,0xb0a051e7ae78d88f32f813b83c6dade66c2ad1ca,0xb0a051e7ae78d88f32f813b83c6dade66c2ad1ca,2021-10-24T11:17:49.451728,5384,1.5
37,759,0xb0a051e7ae78d88f32f813b83c6dade66c2ad1ca,0xb0a051e7ae78d88f32f813b83c6dade66c2ad1ca,2021-10-24T11:15:52.835854,4507,1.5
38,1090,0x90fca992fb601210546c8f41a7ebd168b7c38fac,0x93e6b26d8697f1dd155a81f6af9dc7cefe80f781,2021-10-24T11:08:18.171372,7886,1.5561
39,6210,0x8ed3efe4fd92173f69288793aa4ff322b0439c81,0x8ed3efe4fd92173f69288793aa4ff322b0439c81,2021-10-24T11:06:56.732976,3346,1.745
40,2270,0xc17ecd82772cc4365ff1806639bd97fc82bb20ce,0x6a58cf3bef09eca82fc43a967b66144fadc3dcc2,2021-10-24T10:10:40.400775,2686,0.0
41,4186,0x50471203a2be347d16e300e6875adf3509118c5b,0xe61ed4d6722396334ab7589760f0bff5656142eb,2021-10-24T07:21:07.922068,7766,1.57
42,7812,0x806e0005bb5dad60b17cc19018ef09587529c4e9,0xe61ed4d6722396334ab7589760f0bff5656142eb,2021-10-24T06:41:27.405473,7303,1.57
43,1020,0x9f0954c78d1ec8c444e7401c1fb7e92e3dff7058,0x656866dbc9d251d002c1e6e2a9623849323b13af,2021-10-24T06:19:27.930707,7266,1.5661
44,7980,0xd003075663757c9dac1ff5395588c1ac8255a2eb,0xd003075663757c9dac1ff5395588c1ac8255a2eb,2021-10-24T06:09:15.063097,8064,1.44
45,8325,0x3641646dc9bc31cd6a2c99243ba186efba6d35d9,0x3641646dc9bc31cd6a2c99243ba186efba6d35d9,2021-10-24T05:16:36.849959,1650,2.0
46,1020,0x94a26ecabf6232069512bf36db183691c83184c6,0x94a26ecabf6232069512bf36db183691c83184c6,2021-10-24T04:38:39.219395,7266,1.264
47,5014,0x5bdff53ca599e0e02d45d3b6f36026ba92f0b637,0x8beafbff6272d10c8c834e1014f1d6cc24336b30,2021-10-24T03:36:02.382619,2084,2.49
48,1142,0xc8cec729ff9d2ebed1de55f05f3bac7109da6c24,0xc8cec729ff9d2ebed1de55f05f3bac7109da6c24,2021-10-24T03:30:18.995180,7361,1.3908
49,6614,0xc094a0915037577bdec2fd6b8a615f98e4585087,0x39d0792ad8a277af90b91c32eabc2aef37f8c151,2021-10-24T01:40:09.915263,4904,1.99
50,6614,0x39d0792ad8a277af90b91c32eabc2aef37f8c151,0x0b913df30033535d3b2476d0e478e809e750f596,2021-10-24T01:33:45.981814,4904,1.7
51,1959,0xb0bc0980b46d3af1f1800e0da3144b88d8b9cb0a,0xb0bc0980b46d3af1f1800e0da3144b88d8b9cb0a,2021-10-24T01:14:41.500165,5035,1.8
52,2552,0x9570eb830eaec0c4d0e6b1b64115ebba5e037f7b,0x9570eb830eaec0c4d0e6b1b64115ebba5e037f7b,2021-10-24T00:40:58.860781,8158,1.4017
53,2550,0x0f7d66a4ec2afc2c62dbf4b03a813af14d32130c,0xe61ed4d6722396334ab7589760f0bff5656142eb,2021-10-24T00:34:13.172585,6782,1.73
54,3470,0x59d68b14daad87c8b0b63153469a90733ba63f6a,0x33ec1b0d43f81a3176de21b63a8fe5363d343ce8,2021-10-23T23:34:15.330716,1577,2.29
55,2549,0x6e9367570f26c9329d8f5d1c8c4c0024a939ba15,0xe61ed4d6722396334ab7589760f0bff5656142eb,2021-10-23T23:34:12.371122,7457,1.75
56,2624,0xfd6349266bcf610ee94e08242e36c798e32fd3c6,0x350cbc7d993a4c8b4682676f32f310ad1d8024c9,2021-10-23T22:50:10.447501,311,7.5
57,1090,0x294803520a1e7b671c105c8a3d94836f40b2b557,0x294803520a1e7b671c105c8a3d94836f40b2b557,2021-10-23T22:35:24.081326,7886,1.2772
58,8229,0x460055cb5238f6760987f516b4e531453fff652a,0x603136b204592de6bc16d783bfa8ec0f7a526c5f,2021-10-23T22:31:30.792982,3695,1.9
59,7073,0x72a77dbd44ab63afcbe9f3a3181239e414bf03f0,0xd5a5c2ef8977ab40d920417018145508251a07c0,2021-10-23T22:25:36.276896,4174,1.69
60,6557,0x73cf0c0ba87e6d62d652d40d7a8b2d7912fd2e2a,0xd5a5c2ef8977ab40d920417018145508251a07c0,2021-10-23T22:24:13.924779,5423,1.69
61,2125,0x60ab463192fa151f919d5edf43617379e5417664,0xc72f3ac2e340f58bcad87a4a0db4ddbb1ed38424,2021-10-23T22:07:13.397951,4312,2.2
62,1168,0x60ab463192fa151f919d5edf43617379e5417664,0x4816fde32c01e1aa7fd3728abb2feab5d21d1a1e,2021-10-23T22:02:43.326708,6373,1.9
63,6189,0x60ab463192fa151f919d5edf43617379e5417664,0xc716ad10bd4241aefe77653715bcca8de5dc68ad,2021-10-23T21:57:38.455062,7690,1.8
64,1774,0xf681069fc9792a95a77b5ecba443a77d5d49df1f,0xbc99c4bd93c24db1bf553f2c7f9348be639fe5b6,2021-10-23T21:56:56.558740,1414,6.0
65,4134,0xf681069fc9792a95a77b5ecba443a77d5d49df1f,0x775a1a552d42e282078ae98ea0b339c5e3a22e68,2021-10-23T20:15:29.963523,427,9.0
66,7153,0xa9b5bcaaae1024d0dcf76988bc5de779a864f3c5,0xaba7b2492fc5946429413b9b32bebc9740ba3365,2021-10-23T19:27:19.387324,6920,1.7
67,2365,0x686065227b7f881991eca1f4b9b016a43fccb429,0x530c1d7e10103a76a558daebdf389f2e456eb14c,2021-10-23T19:27:13.838000,5688,2.0
68,562,0x727fcabaa4f5d8caf0abb0a0f4ad1e06339e6197,0x691ea013171fa2c0a5f98ab32393703aaf1ac051,2021-10-23T19:24:43.876234,5108,1.995
